"","saison","division","HF","journee","code_rencontre","diff_point_norm"
"1","2021","D1","F","J1","PADMPPJ",0
"2","2021","D1","F","J1","PADFCRZ",0
"3","2021","D1","F","J1","PADFCSB",0
"4","2021","D1","F","J1","PADFCSC",0
"5","2021","D1","F","J1","PADFCSD",0
"6","2021","D1","F","J2","PADHCQW",-1.42886901662352
"7","2021","D1","F","J2","PADFCSG",1.02062072615966
"8","2021","D1","F","J2","PADFCSH",0.408248290463863
"9","2021","D1","F","J2","PADFCSI",1.02062072615966
"10","2021","D1","F","J2","PADFCSJ",-0.816496580927726
"11","2021","D1","F","J2","PADFCSK",0
"12","2021","D1","F","J3","PADFCSL",0.903696114115064
"13","2021","D1","F","J3","PADFGXC",1.29099444873581
"14","2021","D1","F","J3","PADFCSO",-1.42009389360939
"15","2021","D1","F","J3","PADGYJS",-0.645497224367903
"16","2021","D1","F","J3","PADFULP",0
"17","2021","D1","F","J3","PADHPRA",-0.258198889747161
"18","2021","D1","F","J4","PADFCST",0.675139951038577
"19","2021","D1","F","J4","PADFCSV",0.192897128868165
"20","2021","D1","F","J4","PADGKIF",-1.73607415981348
"21","2021","D1","F","J4","PADGSUL",0.192897128868165
"22","2021","D1","F","J4","PADMNQC",0.675139951038577
"23","2021","D1","F","J5","PADLMIP",0.847579379526013
"24","2021","D1","F","J5","PADMOQK",0
"25","2021","D1","F","J5","PADFCTB",-0.67806350362081
"26","2021","D1","F","J5","PADMPLS",-0.67806350362081
"27","2021","D1","F","J5","PADLUMF",-1.18661113133642
"28","2021","D1","F","J5","PADMNJV",1.35612700724162
"29","2021","D1","F","J6","PADMNOS",-0.722897396012249
"30","2021","D1","F","J6","PADMNJW",-0.321287731560999
"31","2021","D1","F","J6","PADMFRF",1.68676059069525
"32","2021","D1","F","J6","PADMHLK",0.08032193289025
"33","2021","D1","F","J6","PADMPKG",-0.722897396012249
"34","2021","D1","F","J7","PADMQUT",0.910551050128447
"35","2021","D1","F","J7","PADMLSI",1.30078721446921
"36","2021","D1","F","J7","PADMNJX",-0.455275525064223
"37","2021","D1","F","J7","PADLUMJ",-0.455275525064223
"38","2021","D1","F","J7","PADFCTR",-1.43086593591613
"39","2021","D1","F","J7","PADMPGA",0.130078721446921
"40","2021","D1","F","J8","PADMFRG",-1.16189500386223
"41","2021","D1","F","J8","PADMNJY",-0.387298334620742
"42","2021","D1","F","J8","PADMPGH",1.16189500386223
