code_rencontre,club_recevant,coach_recevant,club_visiteur,coach_visiteur,journee,score_final_r,score_final_v,fichier,score_recevant_min,score_visiteur_min,if (...) NULL,equipe,statut_min,statut_final,effet_positif,TM_derniere_min,TM_derniere_min_adverse,HF,DM,DM_adverse,division,saison,points_recevant,points_visiteur,diff_point,diff_point_norm
PADEKQA,SAMBRE AVESNOIS HANDBALL,PETIT clement,ACHENHEIM TRUCHTERSHEIM,DURAFFOURG aurelien,J1,27,28,rencontre_D2F_1_2021_708.pdf,15,15,15,R,0,-1,0,1,1,F,1,1,D2,2021,0,0,0,0
PADEKQD,HB OCTEVILLE SUR MER,BOIVIN gautier,SAMBRE AVESNOIS HANDBALL,PETIT clement,J2,28,23,rencontre_D2F_1_2021_711.pdf,11,9,9,R,1,1,1,1,1,F,1,1,D2,2021,1,1,0,0
PADEKQE,ACHENHEIM TRUCHTERSHEIM,DURAFFOURG aurelien,NOISY LE GRAND HANDBALL,GHERRAM farid,J2,25,29,rencontre_D2F_1_2021_712.pdf,13,14,14,R,-1,-1,0,0,0,F,1,1,D2,2021,3,1,2,1.3228756555323
PADEKQF,AUNIS HB LA ROCHELLE PERIGNY,GRAMMONT laurent,STELLA SPORTS SAINT MAUR HANDBALL,SAMSON remi,J3,27,31,rencontre_D2F_1_2021_713.pdf,12,11,11,R,1,-1,0,0,1,F,1,1,D2,2021,2,6,-4,-1.0434983894999
PADEKQG,SAMBRE AVESNOIS HANDBALL,PETIT clement,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J3,29,28,rencontre_D2F_1_2021_714.pdf,14,12,12,R,1,1,1,1,1,F,1,1,D2,2021,2,6,-4,-1.0434983894999
PADEKQI,NOISY LE GRAND HANDBALL,GHERRAM farid,HB OCTEVILLE SUR MER,BOIVIN gautier,J3,26,30,rencontre_D2F_1_2021_716.pdf,12,14,14,R,-1,-1,0,1,1,F,1,1,D2,2021,4,4,0,0
PADEKRE,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,STELLA SPORTS SAINT MAUR HANDBALL,SAMSON remi,J9,26,25,rencontre_D2F_1_2021_738.pdf,11,13,13,R,-1,1,1,0,1,F,1,1,D2,2021,14,21,-7,-0.800760762397139
PADEKRF,SAMBRE AVESNOIS HANDBALL,PETIT clement,HB OCTEVILLE SUR MER,BOIVIN gautier,J9,25,21,rencontre_D2F_1_2021_739.pdf,10,10,10,R,0,1,1,1,1,F,0,1,D2,2021,18,16,2,0.562696751954747
PADEKRI,HAVRE ATHLETIC CLUB HB,PELLAN stephane,SAMBRE AVESNOIS HANDBALL,PETIT clement,J10,28,26,rencontre_D2F_1_2021_742.pdf,14,11,11,R,1,1,1,1,1,F,1,1,D2,2021,23,21,2,0
PADEKRK,HB OCTEVILLE SUR MER,BOIVIN gautier,NOISY LE GRAND HANDBALL,GHERRAM farid,J10,24,28,rencontre_D2F_1_2021_744.pdf,12,13,13,R,-1,-1,0,1,1,F,1,1,D2,2021,17,13,4,0.285298701078728
PADEKRL,AUNIS HB LA ROCHELLE PERIGNY,GRAMMONT laurent,SAMBRE AVESNOIS HANDBALL,PETIT clement,J11,27,22,rencontre_D2F_1_2021_745.pdf,13,11,11,R,1,1,1,1,1,F,1,1,D2,2021,12,22,-10,-0.624758017671771
PADEKRQ,SAMBRE AVESNOIS HANDBALL,PETIT clement,NOISY LE GRAND HANDBALL,GHERRAM farid,J12,25,24,rencontre_D2F_1_2021_750.pdf,13,10,10,R,1,1,1,1,1,F,1,1,D2,2021,23,19,4,0.033259505261887
PADEKRR,HB OCTEVILLE SUR MER,BOIVIN gautier,STELLA SPORTS SAINT MAUR HANDBALL,SAMSON remi,J12,22,25,rencontre_D2F_1_2021_751.pdf,10,11,11,R,-1,-1,0,1,1,F,1,1,D2,2021,21,28,-7,-1.43015872626114
PADEKRS,HAVRE ATHLETIC CLUB HB,PELLAN stephane,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,J12,27,28,rencontre_D2F_1_2021_752.pdf,14,15,15,R,-1,-1,0,1,1,F,1,1,D2,2021,27,19,8,0.565411589452078
PADEKRT,AUNIS HB LA ROCHELLE PERIGNY,GRAMMONT laurent,NOISY LE GRAND HANDBALL,GHERRAM farid,J13,26,39,rencontre_D2F_1_2021_753.pdf,15,18,18,R,-1,-1,0,0,1,F,0,1,D2,2021,16,20,-4,-0.80422235230271
PADEKRX,HB OCTEVILLE SUR MER,BOIVIN gautier,AUNIS HB LA ROCHELLE PERIGNY,GRAMMONT laurent,J14,38,21,rencontre_D2F_1_2021_757.pdf,13,15,15,R,-1,1,1,0,1,F,1,1,D2,2021,25,17,8,0.751087041922649
