code_rencontre,club_recevant,coach_recevant,club_visiteur,coach_visiteur,journee,score_final_r,score_final_v,fichier,score_recevant_min,score_visiteur_min,equipe,statut_min,statut_final,effet_positif,TM_derniere_min,TM_derniere_min_adverse,HF,DM,DM_adverse,division,saison,points_recevant,points_visiteur,diff_point,diff_point_norm
PADEKPZ,NOISY LE GRAND HANDBALL,GHERRAM farid,STELLA SPORTS SAINT MAUR HANDBALL,SAMSON remi,J1,27,28,rencontre_D2F_1_2021_707.pdf,26,27,R,-1,-1,0,1,0,F,1,0,D2,2021,0,0,0,0
PADEKQA,SAMBRE AVESNOIS HANDBALL,PETIT clement,ACHENHEIM TRUCHTERSHEIM,DURAFFOURG aurelien,J1,27,28,rencontre_D2F_1_2021_708.pdf,26,28,R,-1,-1,0,0,1,F,0,0,D2,2021,0,0,0,0
PADEKQC,STELLA SPORTS SAINT MAUR HANDBALL,SAMSON remi,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,J2,24,23,rencontre_D2F_1_2021_710.pdf,23,22,R,1,1,1,0,0,F,0,1,D2,2021,3,3,0,0
PADEKQE,ACHENHEIM TRUCHTERSHEIM,DURAFFOURG aurelien,NOISY LE GRAND HANDBALL,GHERRAM farid,J2,25,29,rencontre_D2F_1_2021_712.pdf,25,28,R,-1,-1,0,0,0,F,0,1,D2,2021,3,1,2,1.3228756555323
PADEKQG,SAMBRE AVESNOIS HANDBALL,PETIT clement,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J3,29,28,rencontre_D2F_1_2021_714.pdf,29,26,R,1,1,1,1,0,F,0,0,D2,2021,2,6,-4,-1.0434983894999
PADEKQI,NOISY LE GRAND HANDBALL,GHERRAM farid,HB OCTEVILLE SUR MER,BOIVIN gautier,J3,26,30,rencontre_D2F_1_2021_716.pdf,26,29,R,-1,-1,0,0,0,F,1,0,D2,2021,4,4,0,0
PADEKRE,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,STELLA SPORTS SAINT MAUR HANDBALL,SAMSON remi,J9,26,25,rencontre_D2F_1_2021_738.pdf,26,24,R,1,1,1,0,0,F,1,0,D2,2021,14,21,-7,-0.800760762397139
PADEKRF,SAMBRE AVESNOIS HANDBALL,PETIT clement,HB OCTEVILLE SUR MER,BOIVIN gautier,J9,25,21,rencontre_D2F_1_2021_739.pdf,24,21,R,1,1,1,0,0,F,0,1,D2,2021,18,16,2,0.562696751954747
PADEKRI,HAVRE ATHLETIC CLUB HB,PELLAN stephane,SAMBRE AVESNOIS HANDBALL,PETIT clement,J10,28,26,rencontre_D2F_1_2021_742.pdf,27,25,R,1,1,1,0,0,F,0,0,D2,2021,23,21,2,0
PADEKRK,HB OCTEVILLE SUR MER,BOIVIN gautier,NOISY LE GRAND HANDBALL,GHERRAM farid,J10,24,28,rencontre_D2F_1_2021_744.pdf,24,27,R,-1,-1,0,0,1,F,0,1,D2,2021,17,13,4,0.285298701078728
PADEKRO,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,HB OCTEVILLE SUR MER,BOIVIN gautier,J11,27,29,rencontre_D2F_1_2021_748.pdf,27,29,R,-1,-1,0,0,0,F,0,0,D2,2021,18,18,0,0
