"","club","division","saison","HF","match_joue","total_point","J1","J2","J3","J4","J5","J6","J7","J8","J9","J10","J11","J12","J13","J14","J15","J16","J17","J18","J19","J20","J21","J22","J23","J24","J25","J26"
"1","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,3,6,7,10,13,14,17,18,19,22,23,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26
"2","BREST BRETAGNE HANDBALL","D1","2021","F",13,37,3,6,9,12,15,18,21,24,27,30,33,34,37,37,37,37,37,37,37,37,37,37,37,37,37,37
"3","CHAMBRAY TOURAINE HANDBALL","D1","2021","F",13,28,2,3,6,9,10,11,12,15,18,21,24,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28
"4","ES BESANCON FEMININ","D1","2021","F",13,29,3,6,7,10,11,14,17,18,19,20,23,26,29,29,29,29,29,29,29,29,29,29,29,29,29,29
"5","FLEURY LOIRET HANDBALL","D1","2021","F",13,21,3,6,7,8,11,12,13,16,17,18,19,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21
"6","HANDBALL PLAN DE CUQUES","D1","2021","F",13,17,1,2,5,6,9,10,11,12,13,14,15,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17
"7","JDA DIJON HANDBALL","D1","2021","F",13,18,2,3,4,5,6,7,8,9,10,12,13,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18
"8","MERIGNAC HANDBALL","D1","2021","F",13,18,1,2,3,4,7,8,9,10,12,13,16,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18
"9","METZ HANDBALL","D1","2021","F",13,37,3,6,9,12,15,18,21,24,27,28,31,34,37,37,37,37,37,37,37,37,37,37,37,37,37,37
"10","NANTES ATLANTIQUE HANDBALL","D1","2021","F",13,31,3,4,7,8,9,12,15,18,19,22,25,28,31,31,31,31,31,31,31,31,31,31,31,31,31,31
"11","OGC NICE COTE D'AZUR HANDBALL","D1","2021","F",13,29,1,4,5,6,7,10,13,14,17,20,23,26,29,29,29,29,29,29,29,29,29,29,29,29,29,29
"12","PARIS","D1","2021","F",13,30,1,4,7,10,13,16,17,18,21,23,24,27,30,30,30,30,30,30,30,30,30,30,30,30,30,30
"13","ST AMAND HANDBALL - PORTE DU HAINAUT","D1","2021","F",13,20,1,2,3,6,7,10,11,14,16,17,18,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"14","TOULON","D1","2021","F",13,21,1,2,5,6,7,8,11,12,15,18,19,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21
"15","ACHENHEIM TRUCHTERSHEIM","D2","2021","F",14,29,3,4,7,9,12,15,16,17,20,23,24,27,28,29,29,29,29,29,29,29,29,29,29,29,29,29
"16","AS CANNES-MANDELIEU HANDBALL","D2","2021","F",14,22,1,2,5,6,7,10,11,12,15,16,17,20,21,22,22,22,22,22,22,22,22,22,22,22,22,22
"17","ASUL VAULX EN VELIN","D2","2021","F",14,29,1,4,7,8,9,12,15,18,19,22,23,24,27,29,29,29,29,29,29,29,29,29,29,29,29,29
"18","AUNIS HB LA ROCHELLE PERIGNY","D2","2021","F",14,18,1,2,3,4,5,6,9,10,11,12,15,16,17,18,18,18,18,18,18,18,18,18,18,18,18,18
"19","BOUILLARGUES HANDBALL NIMES METROPOLE","D2","2021","F",14,32,1,4,5,8,11,14,17,18,20,23,26,28,29,32,32,32,32,32,32,32,32,32,32,32,32,32
"20","CELLES SUR BELLE MELLOIS EN POITOU","D2","2021","F",14,42,3,6,9,12,15,18,21,24,27,30,33,36,39,42,42,42,42,42,42,42,42,42,42,42,42,42
"21","CLUB ATHLETIQUE BEGLAIS","D2","2021","F",14,28,3,4,5,8,11,12,13,16,18,21,24,25,26,28,28,28,28,28,28,28,28,28,28,28,28,28
"22","HANDBALL CLERMONT AUVERGNE METROPOLE","D2","2021","F",14,27,3,4,7,10,11,12,15,16,17,18,21,23,24,27,27,27,27,27,27,27,27,27,27,27,27,27
"23","HAVRE ATHLETIC CLUB HB","D2","2021","F",14,34,3,6,7,10,13,16,19,20,23,26,27,28,31,34,34,34,34,34,34,34,34,34,34,34,34,34
"24","HB OCTEVILLE SUR MER","D2","2021","F",14,28,1,4,7,10,11,12,13,16,17,18,21,22,25,28,28,28,28,28,28,28,28,28,28,28,28,28
"25","LE POUZIN HB","D2","2021","F",14,16,1,2,3,4,5,6,7,8,9,10,11,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16
"26","NOISY LE GRAND HANDBALL","D2","2021","F",14,24,1,4,5,6,7,10,11,12,13,16,19,20,23,24,24,24,24,24,24,24,24,24,24,24,24,24
"27","ROCHECHOUART-ST-JUNIEN HANDBALL","D2","2021","F",14,24,3,6,7,8,11,12,13,14,17,18,19,20,23,24,24,24,24,24,24,24,24,24,24,24,24,24
