"","club","division","saison","HF","match_joue","total_point","J1","J2","J3","J4","J5","J6","J7","J8","J9","J10","J11","J12","J13","J14","J15","J16","J17","J18","J19","J20","J21","J22","J23","J24","J25","J26","J27","J28","J29","J30"
"1","C'CHARTRES METROPOLE HANDBALL","D1","2021","H",29,51,1,2,2,3,6,7,10,13,14,15,18,21,22,25,26,27,28,31,34,35,36,37,38,41,44,45,46,49,50,51
"2","CESSON RENNES METROPOLE HB","D1","2021","H",28,46,2,3,5,8,9,10,11,13,14,15,18,20,21,23,24,25,26,27,27,27,30,33,36,37,38,41,42,44,45,46
"3","CHAMBERY SAVOIE HB","D1","2021","H",29,59,1,4,5,6,8,11,14,15,18,20,21,24,24,25,27,30,31,34,37,40,41,42,45,48,49,51,53,55,56,59
"4","DUNKERQUE HANDBALL GRAND LITTORAL","D1","2021","H",27,50,1,3,6,7,10,13,14,15,18,19,20,21,21,22,25,26,26,28,28,31,34,35,36,37,40,41,44,46,49,50
"5","FENIX TOULOUSE HANDBALL","D1","2021","H",27,55,3,4,5,6,7,10,13,14,17,20,23,24,25,27,28,29,29,30,30,31,31,33,36,39,42,45,48,51,52,55
"6","HBC NANTES","D1","2021","H",28,71,3,6,9,11,14,15,15,18,21,24,27,28,29,30,33,36,38,41,44,44,45,47,50,53,56,59,62,65,68,71
"7","ISTRES PROVENCE HANDBALL","D1","2021","H",30,50,3,5,6,8,9,10,11,14,15,16,17,19,20,21,22,25,28,29,30,33,34,35,38,39,40,41,44,45,48,50
"8","LIMOGES","D1","2021","H",30,57,1,4,7,9,12,15,16,19,20,23,24,27,30,31,33,36,39,40,41,42,43,45,46,47,48,51,52,54,55,57
"9","MONTPELLIER HANDBALL","D1","2021","H",29,77,3,6,9,11,14,17,20,22,25,28,31,34,35,38,41,44,47,50,50,53,56,59,60,63,66,68,70,73,76,77
"10","PARIS SAINT-GERMAIN HANDBALL","D1","2021","H",29,84,3,6,9,12,15,18,21,24,27,30,33,36,39,42,44,47,50,53,56,59,62,65,68,69,72,72,75,78,81,84
"11","PROVENCE AIX UNIVERSITE CLUB HANDBALL","D1","2021","H",30,70,1,2,5,8,11,14,17,20,23,26,29,32,35,38,40,43,45,46,47,48,51,54,57,58,59,62,63,64,67,70
"12","SAINT RAPHAEL VAR HANDBALL","D1","2021","H",30,58,2,4,5,8,9,10,11,14,15,17,20,21,24,27,30,31,32,35,38,39,42,45,46,47,50,51,53,54,55,58
"13","TREMBLAY HANDBALL","D1","2021","H",29,37,1,2,4,5,6,7,8,9,10,11,12,13,16,17,18,19,22,25,26,27,28,29,30,31,32,32,33,34,36,37
"14","UNION SPORTIVE IVRY HANDBALL","D1","2021","H",30,46,1,3,4,7,8,9,10,11,12,13,14,15,18,19,22,25,26,27,28,31,32,34,35,38,39,40,41,42,45,46
"15","US CRETEIL HANDBALL","D1","2021","H",27,45,3,4,4,7,8,9,9,10,11,12,13,14,15,18,19,20,21,22,25,26,26,29,30,33,34,37,40,41,42,45
"16","USAM NIMES GARD","D1","2021","H",30,68,3,6,7,8,10,13,16,17,20,23,24,27,30,33,36,37,40,42,43,46,49,50,53,56,59,60,62,65,67,68
"17","ANGERS SCO HANDBALL","D2","2021","H",23,32,1,2,5,6,7,8,8,9,10,12,13,14,17,18,19,20,23,24,25,25,26,26,29,30,31,32,32,32,32,31
"18","BILLERE HANDBALL PAU PYRENEES","D2","2021","H",26,46,1,2,5,6,8,9,12,15,16,18,21,24,25,28,29,31,32,33,34,36,37,38,41,42,45,46,46,46,46,45
"19","CAVIGAL NICE HANDBALL","D2","2021","H",26,50,1,3,4,5,6,9,10,12,15,16,18,21,24,27,30,31,34,37,38,39,42,43,44,45,47,50,50,50,50,47
"20","DIJON METROPOLE HANDBALL","D2","2021","H",26,54,1,4,7,8,9,12,15,16,19,20,23,26,29,30,32,35,36,37,40,42,45,48,49,50,51,54,54,54,54,51
"21","GRAND BESANCON DOUBS HANDBALL","D2","2021","H",26,44,3,6,7,8,9,10,11,13,16,17,18,20,21,22,23,24,27,30,33,35,38,39,40,41,43,44,44,44,44,43
