"Pos.","Club","Points","Joués","Gagnés","Nuls","Perdus","Buts +","Buts -","Diff."
1,"HANDBALL CLERMONT AUVERGNE METROPOLE 63",19,7,6,0,1,194,155,39
2,"CELLES SUR BELLE MELLOIS EN POITOU",18,7,5,1,1,182,171,11
3,"HAVRE ATHLETIC CLUB HB",17,7,5,0,2,214,187,27
4,"NANTES HANDBALL FEMININ",16,6,4,2,0,134,118,16
5,"LOMME LILLE METROPOLE HB",15,7,4,0,3,182,196,-14
6,"STADE PESSACAIS UNION CLUB HANDBALL",15,7,4,0,3,197,180,17
7,"PALENTE BESANCON HANDBALL",12,6,3,0,3,181,176,5
8,"SAINT GREGOIRE RENNES METROPOLE HANDBALL",10,7,1,1,5,166,187,-21
9,"ASUL VAULX EN VELIN",10,6,2,0,4,165,169,-4
10,"CLUB ATHLETIQUE BEGLAIS",10,6,2,0,4,140,156,-16
11,"LE POUZIN HB 07",9,6,1,1,4,155,166,-11
12,"BERGERAC PERIGORD POURPRE HANDBALL",9,6,1,1,4,146,173,-27
13,"BOUILLARGUES HANDBALL NIMES MEDITERRANEE",8,6,1,0,5,162,184,-22
