"Pos.","Club","Points","Joués","Gagnés","Nuls","Perdus","Buts +","Buts -","Diff."
1,"TREMBLAY-EN-FRANCE HANDBALL",54,28,27,0,1,986,796,190
2,"ISTRES PROVENCE HANDBALL",40,28,19,2,7,893,833,60
3,"PONTAULT-COMBAULT HANDBALL",37,28,17,3,8,842,800,42
4,"SELESTAT ALSACE HANDBALL",36,28,17,2,9,845,769,76
5,"JS CHERBOURGEOISE  MANCHE HB",33,28,15,3,10,803,775,28
6,"FRONTIGNAN THAU HANDBALL",30,28,15,3,10,943,904,39
7,"GRAND BESANCON DOUBS HANDBALL",27,28,13,1,14,822,851,-29
8,"NANCY HANDBALL",25,28,12,1,15,874,876,-2
9,"BILLERE HANDBALL PAU PYRENEES",24,28,11,2,15,816,807,9
10,"SARREBOURG MOSELLE SUD HANDBALL",21,28,10,1,17,815,879,-64
11,"VALENCE HANDBALL",20,28,10,0,18,802,862,-60
12,"CAEN HANDBALL",18,28,8,2,18,815,880,-65
13,"HANDBALL CLUB COURNON D'AUVERGNE",18,28,8,2,18,806,858,-52
14,"MASSY ESSONNE HB",18,28,9,3,16,810,881,-71
15,"ANGERS SCO HANDBALL",13,28,5,3,20,784,885,-101
16,"VILLEURBANNE HANDBALL ASSOCIATION (FG)",0,0,0,0,0,0,0,0
