"Pos.","Club","Points","Joués","Gagnés","Nuls","Perdus","Buts..","Buts","Diff.","division","saison","HF"
1,"PARIS SAINT-GERMAIN HANDBALL",54,30,27,0,3,1074,898,176,"D1","2223","H"
2,"MONTPELLIER HANDBALL",52,30,26,0,4,949,833,116,"D1","2223","H"
3,"HBC NANTES",50,30,24,2,4,1024,864,160,"D1","2223","H"
4,"CHAMBERY SAVOIE HB",42,30,20,2,8,931,870,61,"D1","2223","H"
5,"USAM NIMES GARD",41,30,20,1,9,959,901,58,"D1","2223","H"
6,"FENIX TOULOUSE HANDBALL",37,30,17,3,10,978,923,55,"D1","2223","H"
7,"SAINT RAPHAEL VHB",26,30,13,0,17,926,930,-4,"D1","2223","H"
8,"DUNKERQUE HANDBALL GRAND LITTORAL",26,30,12,2,16,901,977,-76,"D1","2223","H"
9,"CESSON RENNES METROPOLE HB",25,30,11,3,16,805,828,-23,"D1","2223","H"
10,"LIMOGES HAND 87",25,30,11,3,16,909,945,-36,"D1","2223","H"
11,"PAYS AIX UNIVERSITE CLUB HANDBALL",24,30,11,2,17,874,922,-48,"D1","2223","H"
12,"US IVRY HANDBALL",18,30,7,4,19,881,961,-80,"D1","2223","H"
13,"C'CHARTRES METROPOLE HANDBALL",18,30,8,2,20,876,918,-42,"D1","2223","H"
14,"US CRETEIL HANDBALL",16,30,7,2,21,905,1014,-109,"D1","2223","H"
15,"ISTRES PROVENCE HANDBALL",14,30,5,4,21,910,992,-82,"D1","2223","H"
16,"SELESTAT ALSACE HANDBALL",12,30,5,2,23,832,958,-126,"D1","2223","H"
1,"PARIS SAINT-GERMAIN HANDBALL",55,30,27,1,2,1083,893,190,"D1","2324","H"
2,"HBC NANTES",54,30,26,2,2,1045,855,190,"D1","2324","H"
3,"MONTPELLIER HANDBALL",48,30,23,2,5,988,860,128,"D1","2324","H"
4,"FENIX TOULOUSE HANDBALL",39,30,18,3,9,964,921,43,"D1","2324","H"
5,"LIMOGES HAND 87",36,30,16,4,10,986,966,20,"D1","2324","H"
6,"CHAMBERY SAVOIE HB",32,30,15,2,13,926,919,7,"D1","2324","H"
7,"USAM NIMES GARD",32,30,16,0,14,882,910,-28,"D1","2324","H"
8,"PROVENCE AIX UNIVERSITE CLUB HANDBALL",30,30,15,0,15,944,960,-16,"D1","2324","H"
9,"SAINT-RAPHAEL VHB",28,30,11,6,13,988,1018,-30,"D1","2324","H"
10,"DUNKERQUE HANDBALL GRAND LITTORAL",26,30,12,2,16,911,930,-19,"D1","2324","H"
11,"CESSON RENNES METROPOLE HB",23,30,10,3,17,885,909,-24,"D1","2324","H"
12,"C'CHARTRES METROPOLE HANDBALL",20,30,9,2,19,890,966,-76,"D1","2324","H"
13,"US IVRY HANDBALL",16,30,7,2,21,882,939,-57,"D1","2324","H"
14,"US CRETEIL HANDBALL",16,30,5,6,19,893,991,-98,"D1","2324","H"
15,"SARAN LOIRET HB",15,30,6,3,21,855,954,-99,"D1","2324","H"
16,"DIJON METROPOLE HB",10,30,4,2,24,907,1038,-131,"D1","2324","H"
1,"METZ HANDBALL",72,24,24,0,0,807,578,229,"D1","2223","F"
2,"BREST BRETAGNE HANDBALL",62,24,19,0,5,698,590,108,"D1","2223","F"
3,"LES NEPTUNES DE NANTES",56,24,15,2,7,677,618,59,"D1","2223","F"
4,"CHAMBRAY TOURAINE HANDBALL",52,24,14,0,10,664,628,36,"D1","2223","F"
5,"JDA DIJON HANDBALL",52,24,14,0,10,713,687,26,"D1","2223","F"
6,"ES BESANCON FEMININ",52,24,12,4,8,643,650,-7,"D1","2223","F"
7,"PARIS 92",51,24,11,5,8,618,593,25,"D1","2223","F"
8,"OGC NICE COTE D'AZUR HANDBALL",47,24,11,1,12,675,714,-39,"D1","2223","F"
9,"HANDBALL PLAN DE CUQUES",40,24,8,0,16,619,685,-66,"D1","2223","F"
10,"CELLES SUR BELLE MELLOIS EN POITOU",37,24,6,2,16,610,705,-95,"D1","2223","F"
11,"ST AMAND HANDBALL -  PORTE DU HAINAUT",34,24,4,2,18,633,713,-80,"D1","2223","F"
12,"TOULON METROPOLE VAR HANDBALL",32,24,3,2,19,582,689,-107,"D1","2223","F"
13,"MERIGNAC HANDBALL",31,24,5,2,17,604,693,-89,"D1","2223","F"
14,"BOURG DE PEAGE DROME HANDBALL (FG)",0,0,0,0,0,0,0,0,"D1","2223","F"
1,"METZ HANDBALL",76,26,25,0,1,937,588,349,"D1","2324","F"
2,"BREST BRETAGNE HANDBALL",75,26,24,1,1,822,631,191,"D1","2324","F"
3,"LES NEPTUNES DE NANTES",64,26,19,0,7,843,673,170,"D1","2324","F"
4,"PARIS 92",62,26,18,0,8,778,723,55,"D1","2324","F"
5,"JDA BOURGOGNE DIJON HANDBALL",56,26,13,4,9,753,754,-1,"D1","2324","F"
6,"CHAMBRAY TOURAINE HANDBALL",56,26,14,2,10,700,691,9,"D1","2324","F"
7,"HANDBALL PLAN DE CUQUES",53,26,13,1,12,715,721,-6,"D1","2324","F"
8,"ES BESANCON FEMININ",53,26,12,3,11,732,699,33,"D1","2324","F"
9,"OGC NICE COTE D'AZUR HANDBALL",44,26,8,2,16,727,808,-81,"D1","2324","F"
10,"MERIGNAC HANDBALL",40,26,6,2,18,698,828,-130,"D1","2324","F"
11,"STRASBOURG ACHENHEIM TRUCHTERSHEIM HANDBALL",39,26,6,1,19,638,810,-172,"D1","2324","F"
12,"ST AMAND HANDBALL -  PORTE DU HAINAUT",38,26,6,0,20,699,796,-97,"D1","2324","F"
13,"TOULON METROPOLE VAR HANDBALL",37,26,5,1,20,682,830,-148,"D1","2324","F"
14,"STELLA SAINT-MAUR HANDBALL",35,26,4,1,21,613,785,-172,"D1","2324","F"
1,"SARAN LOIRET HB",48,30,23,2,5,965,855,110,"D2","2223","H"
2,"DIJON METROPOLE HB",47,30,22,3,5,1001,814,187,"D2","2223","H"
3,"TREMBLAY-EN-FRANCE HANDBALL",47,30,22,3,5,971,857,114,"D2","2223","H"
4,"PONTAULT-COMBAULT HANDBALL",43,30,21,1,8,923,862,61,"D2","2223","H"
5,"FRONTIGNAN HANDBALL",42,30,20,2,8,994,903,91,"D2","2223","H"
6,"CAEN HANDBALL",33,30,15,3,12,873,876,-3,"D2","2223","H"
7,"BILLERE HANDBALL",32,30,15,2,13,890,859,31,"D2","2223","H"
8,"BORDEAUX HANDBALL",30,30,15,4,11,864,852,12,"D2","2223","H"
9,"SARREBOURG MOSELLE SUD HANDBALL",30,30,15,1,14,851,881,-30,"D2","2223","H"
10,"NANCY HANDBALL",29,30,13,3,14,919,922,-3,"D2","2223","H"
11,"MASSY ESSONNE HB",24,30,11,2,17,896,923,-27,"D2","2223","H"
12,"CHERBOURG HB",23,30,10,3,17,824,862,-38,"D2","2223","H"
13,"BESANCON HANDBALL",17,30,8,1,21,923,1008,-85,"D2","2223","H"
14,"VALENCE HANDBALL",17,30,6,5,19,801,920,-119,"D2","2223","H"
15,"VILLEURBANNE HANDBALL",10,30,4,2,24,816,894,-78,"D2","2223","H"
16,"STRASBOURG HANDBALL",-1,30,1,1,28,701,924,-223,"D2","2223","H"
1,"TREMBLAY-EN-FRANCE HANDBALL",54,28,27,0,1,986,796,190,"D2","2324","H"
2,"ISTRES PROVENCE HANDBALL",40,28,19,2,7,893,833,60,"D2","2324","H"
3,"PONTAULT-COMBAULT HANDBALL",37,28,17,3,8,842,800,42,"D2","2324","H"
4,"SELESTAT ALSACE HANDBALL",36,28,17,2,9,845,769,76,"D2","2324","H"
5,"JS CHERBOURGEOISE  MANCHE HB",33,28,15,3,10,803,775,28,"D2","2324","H"
6,"FRONTIGNAN THAU HANDBALL",30,28,15,3,10,943,904,39,"D2","2324","H"
7,"GRAND BESANCON DOUBS HANDBALL",27,28,13,1,14,822,851,-29,"D2","2324","H"
8,"NANCY HANDBALL",25,28,12,1,15,874,876,-2,"D2","2324","H"
9,"BILLERE HANDBALL PAU PYRENEES",24,28,11,2,15,816,807,9,"D2","2324","H"
10,"SARREBOURG MOSELLE SUD HANDBALL",21,28,10,1,17,815,879,-64,"D2","2324","H"
11,"VALENCE HANDBALL",20,28,10,0,18,802,862,-60,"D2","2324","H"
12,"CAEN HANDBALL",18,28,8,2,18,815,880,-65,"D2","2324","H"
13,"HANDBALL CLUB COURNON D'AUVERGNE",18,28,8,2,18,806,858,-52,"D2","2324","H"
14,"MASSY ESSONNE HB",18,28,9,3,16,810,881,-71,"D2","2324","H"
15,"ANGERS SCO HANDBALL",13,28,5,3,20,784,885,-101,"D2","2324","H"
16,"VILLEURBANNE HANDBALL ASSOCIATION (FG)",0,0,0,0,0,0,0,0,"D2","2324","H"
1,"STELLA SAINT-MAUR HANDBALL",66,24,21,0,3,679,576,103,"D2","2223","F"
2,"ACHENHEIM TRUCHTERSHEIM",63,24,19,1,4,729,621,108,"D2","2223","F"
3,"NOISY LE GRAND HANDBALL",55,24,15,1,8,673,638,35,"D2","2223","F"
4,"SAMBRE AVESNOIS HANDBALL",54,24,15,0,9,659,622,37,"D2","2223","F"
5,"HANDBALL CLERMONT AUVERGNE METROPOLE 63",53,24,15,2,7,674,624,50,"D2","2223","F"
6,"BOUILLARGUES HANDBALL NIMES METROPOLE",45,24,10,1,13,628,612,16,"D2","2223","F"
7,"HAVRE ATHLETIC CLUB HB",45,24,10,1,13,609,637,-28,"D2","2223","F"
