code_rencontre,club_recevant,coach_recevant,club_visiteur,coach_visiteur,journee,score_final_r,score_final_v,fichier,score_recevant_29_min,score_visiteur_29_min,temps_proche_30_min,score_recevant_30_min,score_visiteur_30_min,equipe,statut_29_min,statut_30_min,statut_final,effet_positif,TM_derniere_min,TM_derniere_min_adverse,HF,DM,DM_adverse,division,saison
PADEKQA,SAMBRE AVESNOIS HANDBALL,PETIT clement,ACHENHEIM TRUCHTERSHEIM,DURAFFOURG aurelien,J1,27,28,rencontre_D2F_1_2021_708.pdf,15,15,1765,15,16,R,0,-1,-1,0,0,0,F,0,0,D2,2021
PADEKQD,HB OCTEVILLE SUR MER,BOIVIN gautier,SAMBRE AVESNOIS HANDBALL,PETIT clement,J2,28,23,rencontre_D2F_1_2021_711.pdf,11,9,1735,11,9,R,1,1,1,1,0,0,F,0,0,D2,2021
PADEKQE,ACHENHEIM TRUCHTERSHEIM,DURAFFOURG aurelien,NOISY LE GRAND HANDBALL,GHERRAM farid,J2,25,29,rencontre_D2F_1_2021_712.pdf,13,14,1756,14,14,R,-1,0,-1,1,0,0,F,0,1,D2,2021
PADEKQF,AUNIS HB LA ROCHELLE PERIGNY,GRAMMONT laurent,STELLA SPORTS SAINT MAUR HANDBALL,SAMSON remi,J3,27,31,rencontre_D2F_1_2021_713.pdf,12,11,1786,13,11,R,1,1,-1,1,0,0,F,0,1,D2,2021
PADEKQG,SAMBRE AVESNOIS HANDBALL,PETIT clement,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J3,29,28,rencontre_D2F_1_2021_714.pdf,14,12,1777,15,12,R,1,1,1,1,0,0,F,0,0,D2,2021
PADEKQI,NOISY LE GRAND HANDBALL,GHERRAM farid,HB OCTEVILLE SUR MER,BOIVIN gautier,J3,26,30,rencontre_D2F_1_2021_716.pdf,12,14,1798,12,14,R,-1,-1,-1,0,0,0,F,0,0,D2,2021
PADEKRE,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,STELLA SPORTS SAINT MAUR HANDBALL,SAMSON remi,J9,26,25,rencontre_D2F_1_2021_738.pdf,11,13,1796,11,13,R,-1,-1,1,0,0,0,F,1,1,D2,2021
PADEKRF,SAMBRE AVESNOIS HANDBALL,PETIT clement,HB OCTEVILLE SUR MER,BOIVIN gautier,J9,25,21,rencontre_D2F_1_2021_739.pdf,10,10,1783,11,10,R,0,1,1,1,0,0,F,0,1,D2,2021
PADEKRI,HAVRE ATHLETIC CLUB HB,PELLAN stephane,SAMBRE AVESNOIS HANDBALL,PETIT clement,J10,28,26,rencontre_D2F_1_2021_742.pdf,14,11,1757,14,12,R,1,1,1,1,0,0,F,0,0,D2,2021
PADEKRK,HB OCTEVILLE SUR MER,BOIVIN gautier,NOISY LE GRAND HANDBALL,GHERRAM farid,J10,24,28,rencontre_D2F_1_2021_744.pdf,12,13,1786,12,14,R,-1,-1,-1,0,0,0,F,0,0,D2,2021
PADEKRL,AUNIS HB LA ROCHELLE PERIGNY,GRAMMONT laurent,SAMBRE AVESNOIS HANDBALL,PETIT clement,J11,27,22,rencontre_D2F_1_2021_745.pdf,13,11,1792,13,12,R,1,1,1,1,0,0,F,0,0,D2,2021
PADEKRQ,SAMBRE AVESNOIS HANDBALL,PETIT clement,NOISY LE GRAND HANDBALL,GHERRAM farid,J12,25,24,rencontre_D2F_1_2021_750.pdf,13,10,1785,13,11,R,1,1,1,1,0,0,F,0,0,D2,2021
PADEKRR,HB OCTEVILLE SUR MER,BOIVIN gautier,STELLA SPORTS SAINT MAUR HANDBALL,SAMSON remi,J12,22,25,rencontre_D2F_1_2021_751.pdf,10,11,1792,10,12,R,-1,-1,-1,0,0,0,F,0,1,D2,2021
