code_rencontre,club_recevant,coach_recevant,club_visiteur,coach_visiteur,journee,score_final_r,score_final_v,fichier,score_recevant_59_min,score_visiteur_59_min,equipe,statut_59_min,statut_final,effet_positif,TM_derniere_min,TM_derniere_min_adverse,HF,DM,DM_adverse,division,saison
PADEKPZ,NOISY LE GRAND HANDBALL,GHERRAM farid,STELLA SPORTS SAINT MAUR HANDBALL,SAMSON remi,J1,27,28,rencontre_D2F_1_2021_707.pdf,26,27,R,-1,-1,0,1,0,F,1,0,D2,2021
PADEKQA,SAMBRE AVESNOIS HANDBALL,PETIT clement,ACHENHEIM TRUCHTERSHEIM,DURAFFOURG aurelien,J1,27,28,rencontre_D2F_1_2021_708.pdf,26,28,R,-1,-1,0,0,1,F,0,0,D2,2021
PADEKQC,STELLA SPORTS SAINT MAUR HANDBALL,SAMSON remi,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,J2,24,23,rencontre_D2F_1_2021_710.pdf,23,22,R,1,1,1,0,0,F,0,1,D2,2021
PADEKQE,ACHENHEIM TRUCHTERSHEIM,DURAFFOURG aurelien,NOISY LE GRAND HANDBALL,GHERRAM farid,J2,25,29,rencontre_D2F_1_2021_712.pdf,25,28,R,-1,-1,0,0,0,F,0,1,D2,2021
PADEKQG,SAMBRE AVESNOIS HANDBALL,PETIT clement,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J3,29,28,rencontre_D2F_1_2021_714.pdf,29,26,R,1,1,1,1,0,F,0,0,D2,2021
PADEKQI,NOISY LE GRAND HANDBALL,GHERRAM farid,HB OCTEVILLE SUR MER,BOIVIN gautier,J3,26,30,rencontre_D2F_1_2021_716.pdf,26,29,R,-1,-1,0,0,0,F,1,0,D2,2021
PADEKRE,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,STELLA SPORTS SAINT MAUR HANDBALL,SAMSON remi,J9,26,25,rencontre_D2F_1_2021_738.pdf,26,24,R,1,1,1,0,0,F,1,0,D2,2021
PADEKRF,SAMBRE AVESNOIS HANDBALL,PETIT clement,HB OCTEVILLE SUR MER,BOIVIN gautier,J9,25,21,rencontre_D2F_1_2021_739.pdf,24,21,R,1,1,1,0,0,F,0,1,D2,2021
PADEKRI,HAVRE ATHLETIC CLUB HB,PELLAN stephane,SAMBRE AVESNOIS HANDBALL,PETIT clement,J10,28,26,rencontre_D2F_1_2021_742.pdf,27,25,R,1,1,1,0,0,F,0,0,D2,2021
PADEKRK,HB OCTEVILLE SUR MER,BOIVIN gautier,NOISY LE GRAND HANDBALL,GHERRAM farid,J10,24,28,rencontre_D2F_1_2021_744.pdf,24,27,R,-1,-1,0,0,1,F,0,1,D2,2021
PADEKRO,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,HB OCTEVILLE SUR MER,BOIVIN gautier,J11,27,29,rencontre_D2F_1_2021_748.pdf,27,29,R,-1,-1,0,0,0,F,0,0,D2,2021
PADEKRQ,SAMBRE AVESNOIS HANDBALL,PETIT clement,NOISY LE GRAND HANDBALL,GHERRAM farid,J12,25,24,rencontre_D2F_1_2021_750.pdf,25,23,R,1,1,1,0,0,F,1,0,D2,2021
PADEKRR,HB OCTEVILLE SUR MER,BOIVIN gautier,STELLA SPORTS SAINT MAUR HANDBALL,SAMSON remi,J12,22,25,rencontre_D2F_1_2021_751.pdf,21,24,R,-1,-1,0,0,0,F,0,0,D2,2021
PADEKRS,HAVRE ATHLETIC CLUB HB,PELLAN stephane,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,J12,27,28,rencontre_D2F_1_2021_752.pdf,26,28,R,-1,-1,0,1,0,F,0,0,D2,2021
PADEKRW,STELLA SPORTS SAINT MAUR HANDBALL,SAMSON remi,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J13,25,26,rencontre_D2F_1_2021_756.pdf,24,26,R,-1,-1,0,0,0,F,0,0,D2,2021
PADEKRZ,HAVRE ATHLETIC CLUB HB,PELLAN stephane,ACHENHEIM TRUCHTERSHEIM,DURAFFOURG aurelien,J14,30,29,rencontre_D2F_1_2021_759.pdf,28,29,R,-1,1,1,1,0,F,0,0,D2,2021
PADEKSC,AS CANNES-MANDELIEU HANDBALL,POPOVIC jelena,CLUB ATHLETIQUE BEGLAIS,LUBETH jean,J1,26,29,rencontre_D2F_2_2021_762.pdf,25,28,R,-1,-1,0,0,0,F,0,0,D2,2021
PADEKSD,HANDBALL CLERMONT AUVERGNE METROPOLE 63,KABOUSS jamal,LE POUZIN HB,CHAGNARD christophe,J1,31,29,rencontre_D2F_2_2021_763.pdf,30,28,R,1,1,1,0,0,F,0,0,D2,2021
PADEKTD,ASUL VAULX EN VELIN,SEUTCHIE ludovic,ROCHECHOUART-ST-JUNIEN HANDBALL,PAQUIER nicolas,J8,27,25,rencontre_D2F_2_2021_789.pdf,26,24,R,1,1,1,1,0,F,0,0,D2,2021
PADEKTJ,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,CLUB ATHLETIQUE BEGLAIS,LUBETH jean,J9,26,26,rencontre_D2F_2_2021_795.pdf,26,25,R,1,0,0,1,1,F,0,0,D2,2021
PADEKTL,LE POUZIN HB 07,BOYRON mathieu,ASUL VAULX EN VELIN,SEUTCHIE ludovic,J10,28,29,rencontre_D2F_2_2021_797.pdf,28,29,R,-1,-1,0,0,1,F,0,0,D2,2021
PADEKTP,ASUL VAULX EN VELIN,SEUTCHIE ludovic,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J11,23,25,rencontre_D2F_2_2021_801.pdf,22,25,R,-1,-1,0,0,0,F,0,0,D2,2021
PADEKTV,CLUB ATHLETIQUE BEGLAIS,LUBETH jean,LE POUZIN HB,ALVAREZ lucas,J12,24,25,rencontre_D2F_2_2021_807.pdf,24,25,R,-1,-1,0,0,0,F,0,0,D2,2021
PADEKTX,ASUL VAULX EN VELIN,SEUTCHIE ludovic,HANDBALL CLERMONT AUVERGNE METROPOLE,KABOUSS jamal,J13,32,29,rencontre_D2F_2_2021_809.pdf,32,29,R,1,1,1,0,1,F,1,0,D2,2021
PADFCSB,CHAMBRAY TOURAINE HANDBALL,DELARUE jerome,JDA DIJON HANDBALL,MAZEL christophe,J1,27,27,rencontre_D1F_2021_7919.pdf,27,26,R,1,0,0,0,0,F,0,0,D1,2021
PADFCSC,HANDBALL PLAN DE CUQUES,SPINCER angelique,NANTES ATLANTIQUE HANDBALL,SAURINA guillaume,J1,27,30,rencontre_D1F_2021_7920.pdf,26,29,R,-1,-1,0,0,0,F,0,0,D1,2021
PADFCSJ,OGC NICE COTE D'AZUR HANDBALL,KOLEV marjan,JDA DIJON HANDBALL,MAZEL christophe,J2,25,24,rencontre_D1F_2021_7927.pdf,24,24,R,0,1,1,0,0,F,0,1,D1,2021
PADFCSO,HANDBALL PLAN DE CUQUES,SPINCER angelique,FLEURY LOIRET HANDBALL,CASSAN christophe,J3,24,22,rencontre_D1F_2021_7932.pdf,23,21,R,1,1,1,0,0,F,0,0,D1,2021
PADFCTB,MERIGNAC HANDBALL,CHAGNARD christophe,OGC NICE COTE D'AZUR HANDBALL,KOLEV marjan,J5,24,21,rencontre_D1F_2021_7945.pdf,23,20,R,1,1,1,0,0,F,0,0,D1,2021
PADFCTR,MERIGNAC HANDBALL,CHAGNARD christophe,ES BESANCON FEMININ,TERVEL raphaelle,J7,24,29,rencontre_D1F_2021_7961.pdf,24,27,R,-1,-1,0,0,0,F,0,0,D1,2021
PADFCUH,MERIGNAC HANDBALL,CHAGNARD christophe,HBC ST AMAND LES EAUX PORTE DU HAINAUT,SAUVAL florence,J9,26,26,rencontre_D1F_2021_7977.pdf,24,25,R,-1,0,1,0,1,F,0,0,D1,2021
PADFCUI,JDA DIJON HANDBALL,MAZEL christophe,PARIS,MESSAOUDI yacine,J10,21,21,rencontre_D1F_2021_7978.pdf,21,20,R,1,0,0,0,0,F,0,0,D1,2021
PADFCUV,CHAMBRAY TOURAINE HANDBALL,DELARUE jerome,TOULON,PUIGSEGUR laurent,J11,27,26,rencontre_D1F_2021_7991.pdf,27,26,R,1,1,1,1,1,F,0,0,D1,2021
PADFCVD,FLEURY LOIRET HANDBALL,CASSAN christophe,PARIS,MESSAOUDI yacine,J13,23,25,rencontre_D1F_2021_7999.pdf,23,25,R,-1,-1,0,0,0,F,1,0,D1,2021
PADFCVG,MERIGNAC HANDBALL,CHAGNARD christophe,JDA DIJON HANDBALL,MAZEL christophe,J13,23,26,rencontre_D1F_2021_8002.pdf,23,25,R,-1,-1,0,0,0,F,0,0,D1,2021
PADFQRL,CESSON RENNES METROPOLE HB,LERICHE sebastien,SAINT RAPHAEL VHB,FORTUNEANU dan,J1,27,27,rencontre_D1H_2021_351.pdf,26,27,R,-1,0,1,0,1,H,0,1,D1,2021
PADFQRO,ISTRES PROVENCE HANDBALL,DEROT gilles,TREMBLAY EN FRANCE HANDBALL,SILVA joel,J1,29,24,rencontre_D1H_2021_354.pdf,27,24,R,1,1,1,0,0,H,0,1,D1,2021
PADFQRS,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,PAYS AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,J1,34,31,rencontre_D1H_2021_358.pdf,33,31,R,1,1,1,0,0,H,0,0,D1,2021
PADFQRV,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,ISTRES PROVENCE HANDBALL,DEROT gilles,J2,20,20,rencontre_D1H_2021_361.pdf,19,20,R,-1,0,1,0,1,H,1,0,D1,2021
PADFQRW,UNION SPORTIVE IVRY HANDBALL,QUINTALLET sebastien,SAINT RAPHAEL VHB,FORTUNEANU dan,J2,34,34,rencontre_D1H_2021_362.pdf,33,34,R,-1,0,1,0,1,H,0,0,D1,2021
PADFQRX,LIMOGES HAND 87,HAYATOUNE tarik,US CRETEIL HANDBALL,MONTORIER pierre,J2,29,28,rencontre_D1H_2021_363.pdf,27,27,R,0,1,1,0,1,H,0,0,D1,2021
PADFQRZ,FENIX TOULOUSE HANDBALL,GARDENT philippe,USAM NIMES GARD,MAURICE franck,J2,28,29,rencontre_D1H_2021_365.pdf,28,28,R,0,-1,0,1,1,H,0,0,D1,2021
PADFQSA,TREMBLAY EN FRANCE HANDBALL,SILVA joel,CHAMBERY SAVOIE HB,MATHE erick,J2,24,27,rencontre_D1H_2021_366.pdf,24,26,R,-1,-1,0,0,1,H,0,0,D1,2021
PADFQSB,CESSON RENNES METROPOLE HB,LERICHE sebastien,TREMBLAY EN FRANCE HANDBALL,SILVA joel,J3,28,28,rencontre_D1H_2021_367.pdf,28,26,R,1,0,0,0,0,H,0,0,D1,2021
PADFQSF,UNION SPORTIVE IVRY HANDBALL,QUINTALLET sebastien,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,J3,20,23,rencontre_D1H_2021_371.pdf,20,22,R,-1,-1,0,0,1,H,1,0,D1,2021
