"","code_rencontre","club_recevant","coach_recevant","club_visiteur","coach_visiteur","score_final_r","score_final_v","fichier","journee","score_recevant_59_min","score_visiteur_59_min","equipe","statut_59_min","statut_final","effet_positif","TM_derniere_min","TM_derniere_min_adverse","HF","DM","DM_adverse","division","saison","club_ref","club_opp","points_recevant","points_visiteur","diff_point","diff_point_norm"
"1","SAECUYY","BREST BRETAGNE HANDBALL","MOREL pablo","JDA DIJON HANDBALL","MAZEL christophe",32,30,"rencontre_D1F_2223_2969.pdf","J1",32,29,"R",1,1,1,1,0,"F",0,0,"D1",2223,"brest bretagne handball","jda dijon handball",0,0,0,0.117227342662894
"2","SAECUZP","MERIGNAC HANDBALL","CHAGNARD christophe","CELLES SUR BELLE MELLOIS EN POITOU","VINCENT thierry",26,28,"rencontre_D1F_2223_2986.pdf","J3",26,27,"R",-1,-1,0,0,0,"F",0,0,"D1",2223,"merignac handball","celles sur belle mellois en poitou",2,6,-4,-0.360876329374007
"3","SAECUZQ","TOULON METROPOLE VAR HANDBALL","PLANTIN stephane","LES NEPTUNES DE NANTES","THOMSEN helle",24,26,"rencontre_D1F_2223_2987.pdf","J3",23,25,"R",-1,-1,0,0,0,"F",1,0,"D1",2223,"toulon metropole var handball","les neptunes de nantes",2,4,-2,-0.121824493355556
"4","SAECUZR","HANDBALL PLAN DE CUQUES","SPINCER angelique","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement",34,32,"rencontre_D1F_2223_2988.pdf","J3",34,32,"R",1,1,1,0,0,"F",1,0,"D1",2223,"handball plan de cuques","ogc nice cote d'azur handball",4,2,2,0.356279178681344
"5","SAECVAF","MERIGNAC HANDBALL","CHAGNARD christophe","LES NEPTUNES DE NANTES","THOMSEN helle",27,30,"rencontre_D1F_2223_3002.pdf","J5",27,30,"R",-1,-1,0,0,1,"F",0,0,"D1",2223,"merignac handball","les neptunes de nantes",4,10,-6,-0.599928165392457
"6","SAECVAJ","LES NEPTUNES DE NANTES","THOMSEN helle","CELLES SUR BELLE MELLOIS EN POITOU","VINCENT thierry",28,26,"rencontre_D1F_2223_3006.pdf","J6",27,26,"R",1,1,1,1,0,"F",0,0,"D1",2223,"les neptunes de nantes","celles sur belle mellois en poitou",13,10,3,0.475805096690569
"7","SAECVAL","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement","MERIGNAC HANDBALL","CHAGNARD christophe",26,24,"rencontre_D1F_2223_3008.pdf","J6",25,23,"R",1,1,1,1,0,"F",0,0,"D1",2223,"ogc nice cote d'azur handball","merignac handball",5,5,0,0.117227342662894
"8","SAECVAQ","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement","CHAMBRAY TOURAINE HANDBALL","LANFRANCHI mathieu",33,36,"rencontre_D1F_2223_3013.pdf","J7",33,36,"R",-1,-1,0,0,0,"F",0,1,"D1",2223,"ogc nice cote d'azur handball","chambray touraine handball",8,11,-3,-0.241350411364781
"9","SAECVAU","CELLES SUR BELLE MELLOIS EN POITOU","VINCENT thierry","PARIS","MESSAOUDI yacine",23,24,"rencontre_D1F_2223_3017.pdf","J7",22,24,"R",-1,-1,0,0,0,"F",0,0,"D1",2223,"celles sur belle mellois en poitou","paris 92",11,14,-3,-0.241350411364781
"10","SAECVAV","ES BESANCON FEMININ","MIZOULE sebastien","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement",27,28,"rencontre_D1F_2223_3018.pdf","J8",26,27,"R",-1,-1,0,0,0,"F",0,0,"D1",2223,"es besancon feminin","ogc nice cote d'azur handball",12,9,3,0.475805096690569
"11","SAECVBB","ST AMAND HANDBALL - PORTE DU HAINAUT","GARCIA CARRACEDO felix","BREST BRETAGNE HANDBALL","MOREL pablo",24,23,"rencontre_D1F_2223_3024.pdf","J8",23,22,"R",1,1,1,1,0,"F",0,0,"D1",2223,"st amand handball -  porte du hainaut","brest bretagne handball",6,21,-15,-1.67566142747548
"12","SAECVBF","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement","JDA DIJON HANDBALL","MAZEL christophe",29,30,"rencontre_D1F_2223_3028.pdf","J9",29,29,"R",0,-1,0,1,0,"F",0,0,"D1",2223,"ogc nice cote d'azur handball","jda dijon handball",12,15,-3,-0.241350411364781
"13","SAECVBH","MERIGNAC HANDBALL","CHAGNARD christophe","ST AMAND HANDBALL - PORTE DU HAINAUT","GARCIA CARRACEDO felix",27,26,"rencontre_D1F_2223_3030.pdf","J9",27,26,"R",1,1,1,0,1,"F",0,0,"D1",2223,"merignac handball","st amand handball -  porte du hainaut",10,9,1,0.236753260672119
"14","SAECVBJ","METZ HANDBALL","MAYONNADE emmanuel","PARIS","MESSAOUDI yacine",30,29,"rencontre_D1F_2223_3032.pdf","J10",30,29,"R",1,1,1,0,0,"F",0,0,"D1",2223,"metz handball","paris 92",24,21,3,0.475805096690569
"15","SAECVBL","ES BESANCON FEMININ","MIZOULE sebastien","CELLES SUR BELLE MELLOIS EN POITOU","VINCENT thierry",29,26,"rencontre_D1F_2223_3034.pdf","J10",29,26,"R",1,1,1,0,0,"F",0,0,"D1",2223,"es besancon feminin","celles sur belle mellois en poitou",13,16,-3,-0.241350411364781
"16","SAECVBM","CHAMBRAY TOURAINE HANDBALL","LANFRANCHI mathieu","MERIGNAC HANDBALL","CHAGNARD christophe",21,22,"rencontre_D1F_2223_3035.pdf","J10",21,22,"R",-1,-1,0,0,1,"F",0,0,"D1",2223,"chambray touraine handball","merignac handball",18,13,5,0.714856932709019
"17","SAECVBO","HANDBALL PLAN DE CUQUES","SPINCER angelique","TOULON METROPOLE VAR HANDBALL","PLANTIN stephane",29,25,"rencontre_D1F_2223_3037.pdf","J10",28,25,"R",1,1,1,0,0,"F",0,0,"D1",2223,"handball plan de cuques","toulon metropole var handball",15,10,5,0.714856932709019
"18","SAECVBP","ST AMAND HANDBALL - PORTE DU HAINAUT","GARCIA CARRACEDO felix","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement",31,32,"rencontre_D1F_2223_3038.pdf","J10",31,32,"R",-1,-1,0,0,1,"F",0,0,"D1",2223,"st amand handball -  porte du hainaut","ogc nice cote d'azur handball",10,13,-3,-0.241350411364781
"19","SAECVBS","LES NEPTUNES DE NANTES","THOMSEN helle","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement",27,29,"rencontre_D1F_2223_3041.pdf","J11",27,28,"R",-1,-1,0,0,1,"F",0,0,"D1",2223,"les neptunes de nantes","ogc nice cote d'azur handball",23,16,7,0.95390876872747
"20","SAECVBY","BREST BRETAGNE HANDBALL","MOREL pablo","PARIS","MESSAOUDI yacine",22,19,"rencontre_D1F_2223_3047.pdf","J12",21,19,"R",1,1,1,1,0,"F",0,0,"D1",2223,"brest bretagne handball","paris 92",28,25,3,0.475805096690569
"21","SAECVCG","LES NEPTUNES DE NANTES","THOMSEN helle","ES BESANCON FEMININ","MIZOULE sebastien",23,23,"rencontre_D1F_2223_3055.pdf","J13",22,23,"R",-1,0,1,0,0,"F",0,0,"D1",2223,"les neptunes de nantes","es besancon feminin",25,22,3,0.475805096690569
"22","SAECVCM","PARIS","MESSAOUDI yacine","CELLES SUR BELLE MELLOIS EN POITOU","VINCENT thierry",21,21,"rencontre_D1F_2223_3061.pdf","J14",21,19,"R",1,0,0,1,0,"F",1,1,"D1",2223,"paris 92","celles sur belle mellois en poitou",29,20,9,1.19296060474592
"23","SAECVCU","JDA DIJON HANDBALL","MAZEL christophe","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement",25,27,"rencontre_D1F_2223_3069.pdf","J15",24,26,"R",-1,-1,0,0,0,"F",0,0,"D1",2223,"jda dijon handball","ogc nice cote d'azur handball",27,24,3,0.475805096690569
"24","SAECVDB","CHAMBRAY TOURAINE HANDBALL","LANFRANCHI mathieu","TOULON METROPOLE VAR HANDBALL","PLANTIN stephane",28,27,"rencontre_D1F_2223_3076.pdf","J16",28,26,"R",1,1,1,1,0,"F",0,0,"D1",2223,"chambray touraine handball","toulon metropole var handball",32,17,15,1.91011611280127
"25","SAECVDC","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement","LES NEPTUNES DE NANTES","THOMSEN helle",24,25,"rencontre_D1F_2223_3077.pdf","J16",24,25,"R",-1,-1,0,0,1,"F",1,0,"D1",2223,"ogc nice cote d'azur handball","les neptunes de nantes",27,33,-6,-0.599928165392457
"26","SAECVDF","ST AMAND HANDBALL - PORTE DU HAINAUT","GARCIA CARRACEDO felix","ES BESANCON FEMININ","MIZOULE sebastien",28,28,"rencontre_D1F_2223_3080.pdf","J16",26,28,"R",-1,0,1,0,0,"F",0,1,"D1",2223,"st amand handball -  porte du hainaut","es besancon feminin",20,26,-6,-0.599928165392457
"27","SAECVDI","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement","CELLES SUR BELLE MELLOIS EN POITOU","VINCENT thierry",34,31,"rencontre_D1F_2223_3083.pdf","J17",33,30,"R",1,1,1,0,0,"F",0,0,"D1",2223,"ogc nice cote d'azur handball","celles sur belle mellois en poitou",28,25,3,0.475805096690569
"28","SAECVDK","TOULON METROPOLE VAR HANDBALL","PLANTIN stephane","METZ HANDBALL","MAYONNADE emmanuel",32,33,"rencontre_D1F_2223_3085.pdf","J17",31,32,"R",-1,-1,0,0,1,"F",0,1,"D1",2223,"toulon metropole var handball","metz handball",18,42,-24,-2.75139468955851
"29","SAECVDP","PARIS","MESSAOUDI yacine","LES NEPTUNES DE NANTES","THOMSEN helle",22,21,"rencontre_D1F_2223_3090.pdf","J18",21,21,"R",0,1,1,1,0,"F",0,1,"D1",2223,"paris 92","les neptunes de nantes",36,39,-3,-0.241350411364781
"30","SAECVDT","CELLES SUR BELLE MELLOIS EN POITOU","VINCENT thierry","MERIGNAC HANDBALL","CHAGNARD christophe",30,32,"rencontre_D1F_2223_3094.pdf","J18",29,31,"R",-1,-1,0,0,0,"F",0,0,"D1",2223,"celles sur belle mellois en poitou","merignac handball",26,25,1,0.236753260672119
"31","SAECVDW","CHAMBRAY TOURAINE HANDBALL","LANFRANCHI mathieu","ES BESANCON FEMININ","MIZOULE sebastien",24,25,"rencontre_D1F_2223_3097.pdf","J19",24,24,"R",0,-1,0,1,1,"F",0,1,"D1",2223,"chambray touraine handball","es besancon feminin",39,29,10,1.31248652275514
"32","SAECVED","ES BESANCON FEMININ","MIZOULE sebastien","HANDBALL PLAN DE CUQUES","SPINCER angelique",26,25,"rencontre_D1F_2223_3104.pdf","J20",25,24,"R",1,1,1,0,0,"F",1,0,"D1",2223,"es besancon feminin","handball plan de cuques",32,28,4,0.595331014699794
"33","SAECVEE","JDA DIJON HANDBALL","MAZEL christophe","TOULON METROPOLE VAR HANDBALL","PLANTIN stephane",31,30,"rencontre_D1F_2223_3105.pdf","J20",30,30,"R",0,1,1,0,0,"F",0,1,"D1",2223,"jda dijon handball","toulon metropole var handball",38,21,17,2.14916794881972
"34","SAECVEG","CELLES SUR BELLE MELLOIS EN POITOU","VINCENT thierry","CHAMBRAY TOURAINE HANDBALL","LANFRANCHI mathieu",24,22,"rencontre_D1F_2223_3107.pdf","J20",24,22,"R",1,1,1,0,0,"F",0,0,"D1",2223,"celles sur belle mellois en poitou","chambray touraine handball",28,40,-12,-1.31708367344781
"35","SAECVEK","CHAMBRAY TOURAINE HANDBALL","LANFRANCHI mathieu","PARIS","MESSAOUDI yacine",24,23,"rencontre_D1F_2223_3111.pdf","J21",23,22,"R",1,1,1,1,0,"F",1,0,"D1",2223,"chambray touraine handball","paris 92",41,42,-1,-0.00229857534633126
