;club;division;saison;HF;match_joue;total_point;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;J14;J15;J16;J17;J18;J19;J20;J21;J22;J23;J24;J25;J26;J27;J28;J29;J30
1;BOURG DE PEAGE DROME HANDBALL;D1;2021;F;13;26;3;3;1;3;3;1;3;1;1;3;1;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;BREST BRETAGNE HANDBALL;D1;2021;F;13;37;3;3;3;3;3;3;3;3;3;3;3;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;CHAMBRAY TOURAINE HANDBALL;D1;2021;F;13;28;2;1;3;3;1;1;1;3;3;3;3;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;ES BESANCON FEMININ;D1;2021;F;13;29;3;3;1;3;1;3;3;1;1;1;3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;FLEURY LOIRET HANDBALL;D1;2021;F;13;21;3;3;1;1;3;1;1;3;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;HANDBALL PLAN DE CUQUES;D1;2021;F;13;17;1;1;3;1;3;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;JDA DIJON HANDBALL;D1;2021;F;13;18;2;1;1;1;1;1;1;1;1;2;1;2;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;MERIGNAC HANDBALL;D1;2021;F;13;18;1;1;1;1;3;1;1;1;2;1;3;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;METZ HANDBALL;D1;2021;F;13;37;3;3;3;3;3;3;3;3;3;1;3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;NANTES ATLANTIQUE HANDBALL;D1;2021;F;13;31;3;1;3;1;1;3;3;3;1;3;3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;OGC NICE COTE D'AZUR HANDBALL;D1;2021;F;13;29;1;3;1;1;1;3;3;1;3;3;3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;PARIS;D1;2021;F;13;30;1;3;3;3;3;3;1;1;3;2;1;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;ST AMAND HANDBALL - PORTE DU HAINAUT;D1;2021;F;13;20;1;1;1;3;1;3;1;3;2;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;TOULON;D1;2021;F;13;21;1;1;3;1;1;1;3;1;3;3;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;ACHENHEIM TRUCHTERSHEIM;D2;2021;F;14;29;3;1;3;2;3;3;1;1;3;3;1;3;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;AS CANNES-MANDELIEU HANDBALL;D2;2021;F;14;22;1;1;3;1;1;3;1;1;3;1;1;3;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;ASUL VAULX EN VELIN;D2;2021;F;14;29;1;3;3;1;1;3;3;3;1;3;1;1;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;AUNIS HB LA ROCHELLE PERIGNY;D2;2021;F;14;18;1;1;1;1;1;1;3;1;1;1;3;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
19;BOUILLARGUES HANDBALL NIMES METROPOLE;D2;2021;F;14;32;1;3;1;3;3;3;3;1;2;3;3;2;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;CELLES SUR BELLE MELLOIS EN POITOU;D2;2021;F;14;42;3;3;3;3;3;3;3;3;3;3;3;3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
21;CLUB ATHLETIQUE BEGLAIS;D2;2021;F;14;28;3;1;1;3;3;1;1;3;2;3;3;1;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
22;HANDBALL CLERMONT AUVERGNE METROPOLE;D2;2021;F;14;27;3;1;3;3;1;1;3;1;1;1;3;2;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
23;HAVRE ATHLETIC CLUB HB;D2;2021;F;14;34;3;3;1;3;3;3;3;1;3;3;1;1;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
