"","club","division","saison","HF","J1","J2","J3","J4","J5","J6","J7","J8","J9","J10","J11","J12","J13","J14","J15","J16","J17","J18","J19","J20","J21","J22","J23","J24","J25","J26","match_joue","total_point"
"1","BREST BRETAGNE HANDBALL","D1","2223","F",3,6,9,12,15,18,21,22,25,25,28,31,32,35,38,39,42,45,46,47,50,53,56,59,59,62,24,62
"2","CELLES SUR BELLE MELLOIS EN POITOU","D1","2223","F",3,6,9,10,10,11,12,13,16,17,18,19,20,22,25,25,26,27,28,31,32,34,35,36,37,38,24,38
"3","CHAMBRAY TOURAINE HANDBALL","D1","2223","F",3,6,7,7,10,11,14,17,18,19,22,25,28,29,32,35,36,39,40,41,44,44,47,48,51,52,24,52
"4","ES BESANCON FEMININ","D1","2223","F",3,4,6,9,10,11,12,13,13,16,19,22,24,25,26,28,28,29,32,35,38,41,44,47,50,52,24,52
"5","HANDBALL PLAN DE CUQUES","D1","2223","F",3,4,7,8,9,12,13,14,15,18,18,19,20,21,22,23,24,25,28,29,32,35,36,39,40,40,24,40
"6","JDA DIJON HANDBALL","D1","2223","F",1,2,2,5,8,9,12,15,18,19,20,21,24,27,28,31,34,37,38,41,44,45,45,48,49,52,24,52
"7","LES NEPTUNES DE NANTES","D1","2223","F",1,4,7,10,13,16,16,19,20,23,24,25,27,30,33,36,39,40,43,46,46,48,51,52,53,56,24,56
"8","MERIGNAC HANDBALL","D1","2223","F",1,2,3,4,5,6,9,10,13,16,17,20,20,21,22,23,25,28,28,30,31,32,33,34,35,36,24,36
"9","METZ HANDBALL","D1","2223","F",0,3,6,9,12,15,18,21,24,27,30,33,36,36,39,42,45,48,51,54,57,60,63,66,69,72,24,72
"10","OGC NICE COTE D'AZUR HANDBALL","D1","2223","F",1,2,3,4,5,8,9,12,13,16,19,19,21,24,27,28,31,32,35,35,36,37,40,41,44,47,24,47
"11","PARIS","D1","2223","F",3,6,8,11,14,14,17,18,21,22,25,26,29,31,31,34,36,39,41,42,43,46,47,48,49,51,24,51
"12","ST AMAND HANDBALL - PORTE DU HAINAUT","D1","2223","F",1,1,2,3,4,5,6,9,10,11,12,15,16,19,20,22,23,24,25,27,28,29,30,30,33,34,24,34
"13","TOULON METROPOLE VAR HANDBALL","D1","2223","F",1,2,3,4,5,8,9,9,10,11,12,13,15,16,17,18,19,19,21,22,23,24,25,28,31,32,24,32
"14","ACHENHEIM TRUCHTERSHEIM","D2","2223","F",3,6,7,10,13,16,19,22,25,26,29,29,32,33,34,37,40,43,46,49,52,52,55,58,60,63,24,63
"15","ASUL VAULX EN VELIN","D2","2223","F",1,1,4,5,8,9,10,11,12,13,15,18,19,20,20,21,22,23,25,26,27,30,33,34,37,38,24,38
