"","club","division","saison","HF","J1","J2","J3","J4","J5","J6","J7","J8","J9","J10","J11","J12","J13","J14","J15","J16","J17","J18","J19","J20","J21","J22","J23","J24","J25","J26","J27","J28","J29","J30","match_joue","total_point"
"1","C'CHARTRES METROPOLE HANDBALL","D1","2223","H",3,4,5,6,7,10,11,13,16,17,18,19,20,23,26,27,28,29,30,31,34,35,36,37,38,40,41,42,45,48,30,48
"2","CESSON RENNES METROPOLE HB","D1","2223","H",3,6,7,10,13,14,17,20,21,24,25,26,27,28,30,31,32,33,36,37,38,41,44,45,48,49,50,52,53,55,30,55
"3","CHAMBERY SAVOIE HB","D1","2223","H",1,4,7,10,13,14,17,18,19,22,25,26,29,32,34,37,40,43,46,49,50,53,56,59,60,63,66,68,71,72,30,72
"4","DUNKERQUE HANDBALL GRAND LITTORAL","D1","2223","H",3,4,5,8,11,12,13,15,18,21,24,25,26,27,29,30,33,34,35,38,39,40,43,44,47,48,51,54,55,56,30,56
"5","FENIX TOULOUSE HANDBALL","D1","2223","H",3,4,7,8,11,12,15,17,20,21,24,27,30,31,34,35,38,41,43,44,46,47,50,53,56,59,60,61,64,67,30,67
"6","HBC NANTES","D1","2223","H",3,6,9,12,15,18,19,22,25,28,29,32,35,38,39,42,45,48,51,54,56,59,62,65,68,71,74,76,77,80,30,80
"7","ISTRES PROVENCE HANDBALL","D1","2223","H",1,2,3,4,5,6,9,10,11,12,15,16,17,19,21,24,25,27,28,29,30,31,34,35,36,38,39,42,43,44,30,44
"8","LIMOGES HAND","D1","2223","H",1,4,7,8,9,10,13,14,17,18,21,24,27,28,29,32,33,35,37,38,39,42,43,46,49,50,51,52,53,55,30,55
"9","MONTPELLIER HANDBALL","D1","2223","H",3,4,7,10,13,16,19,22,25,28,31,34,37,40,41,44,47,50,53,56,59,62,63,66,67,70,73,76,79,82,30,82
"10","PARIS SAINT-GERMAIN HANDBALL","D1","2223","H",3,6,7,10,13,16,19,22,25,28,31,34,37,38,41,44,47,50,51,54,57,60,63,66,69,72,75,78,81,84,30,84
