;club;division;saison;HF;match_joue;total_point;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;J14;J15;J16;J17;J18;J19;J20;J21;J22;J23;J24;J25;J26
1;AMIENS PICARDIE HANDBALL;N1;2021;H;4;9;3;3;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;ASB REZE HANDBALL;N1;2021;H;4;4;1;1;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;ASPTT MULHOUSE/RIXHEIM;N1;2021;H;4;11;3;3;2;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;ATHLETIC CLUB BOULOGNE BILLANCOURT;N1;2021;H;3;3;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;BILLERE HANDBALL PAU PYRENEES;N1;2021;H;4;9;1;NA;3;2;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;BRUGES;N1;2021;H;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;C'CHARTRES METROPOLE HANDBALL;N1;2021;H;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;CAEN HANDBALL;N1;2021;H;3;9;3;NA;NA;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;CERCLE PAUL BERT RENNES HB;N1;2021;H;5;8;1;2;3;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;CESSON RENNES METROPOLE HB;N1;2021;H;5;13;1;3;3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;CLUB OMNISPORTS DE VERNOUILLET;N1;2021;H;5;7;1;1;1;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;ELITE VAL-D’OISE;N1;2021;H;5;10;3;3;1;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;FENIX TOULOUSE HANDBALL;N1;2021;H;5;14;3;3;3;2;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;FRONTIGNAN THAU HANDBALL;N1;2021;H;4;8;3;1;3;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;GONFREVILLE HANDBALL;N1;2021;H;4;6;1;1;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;GRAND POITIERS HANDBALL;N1;2021;H;5;7;1;1;1;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;HAND BALL CLUB GIEN LOIRET;N1;2021;H;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;HANDBALL CLUB DE LIVRY GARGAN;N1;2021;H;3;6;3;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
19;HANDBALL HAZEBROUCK;N1;2021;H;3;7;3;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;HBC NANTES;N1;2021;H;4;8;3;3;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
21;LANESTER HB;N1;2021;H;4;8;3;1;NA;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
22;LILLE METROPOLE - HANDBALL CLUB;N1;2021;H;1;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
23;PARIS SAINT-GERMAIN HANDBALL;N1;2021;H;4;11;3;2;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
24;PATRONAGE LAIQUE GRANVILLE HANDBALL;N1;2021;H;2;2;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
25;PAU NOUSTY SPORTS;N1;2021;H;3;6;1;3;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
26;POUZAUGES VENDEE HANDBALL;N1;2021;H;4;12;3;3;3;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
27;REVEIL DE NOGENT HANDBALL;N1;2021;H;1;3;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
29;SAINT CYR HANDBALL;N1;2021;H;4;10;1;3;3;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
30;SAVIGNY HB;N1;2021;H;5;9;3;3;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;TORCY HANDBALL MARNE LA VALLEE;N1;2021;H;2;4;3;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;UNION GIRONDINS DE BORDEAUX BASTIDE;N1;2021;H;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;UNION SPORTIVE IVRY HANDBALL;N1;2021;H;1;3;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;US CRETEIL HANDBALL;N1;2021;H;3;4;1;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
35;US SAINTES HANDBALL;N1;2021;H;4;8;3;1;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
36;VILLEURBANNE HANDBALL;N1;2021;H;2;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
37;AMIENS PICARDIE HANDBALL;N1;2122;H;22;57;3;1;3;3;3;1;3;3;3;3;3;2;3;3;3;3;2;1;3;3;2;3;NA;NA;NA;NA
38;ANNECY CSAV HANDBALL;N1;2122;H;22;50;3;3;3;1;3;3;1;1;1;3;1;3;3;3;3;1;3;3;1;3;1;3;NA;NA;NA;NA
39;ASB REZE HANDBALL;N1;2122;H;21;46;1;3;3;3;1;3;3;1;1;1;3;2;1;3;3;3;1;3;1;3;1;2;NA;NA;NA;NA
40;ASPTT MULHOUSE/RIXHEIM;N1;2122;H;22;43;3;2;1;3;3;3;3;1;3;3;2;1;1;1;3;1;1;1;1;1;3;2;NA;NA;NA;NA
41;ASSOCIATION SPORTIVE ST-OUEN-L'AUMONE;N1;2122;H;22;31;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;2;3;3;3;1;NA;NA;NA;NA
