club;division;saison;HF;match_joue;total_point;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;J14;J15;J16;J17;J18;J19;J20;J21;J22;J23;J24;J25;J26
ACHENHEIM TRUCHTERSHEIM;N1;2021;F;3;3;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ANGOULEME CHARENTE HANDBALL;N1;2021;F;3;5;1;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ANNECY CSAV HANDBALL;N1;2021;F;3;4;1;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ASPTT LIMOGES HANDBALL;N1;2021;F;2;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BASSIN MUSSIPONTAIN HANDBALL;N1;2021;F;3;5;1;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BERGERAC PERIGORD POURPRE HANDBALL;N1;2021;F;3;7;1;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BLANZAT SPORT MONTLUCON;N1;2021;F;3;8;3;2;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BORDES SPORTS;N1;2021;F;3;5;3;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BOURG DE PEAGE DROME HANDBALL;N1;2021;F;3;7;3;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BREST BRETAGNE HANDBALL;N1;2021;F;2;4;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BRUGUIERES OCCITAN CLUB;N1;2021;F;3;7;1;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CHAMBRAY TOURAINE HANDBALL;N1;2021;F;3;5;3;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CHEVIGNY ST SAUVEUR HANDBALL;N1;2021;F;2;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CJF FLEURY LOIRET HANDBALL;N1;2021;F;3;7;3;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CLUB LAIQUE COLOMBELLES HANDBALL;N1;2021;F;3;9;3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ENTENTE COTE BASQUE;N1;2021;F;3;8;3;2;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
EPINAL HB;N1;2021;F;2;4;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
