"","club","division","saison","HF","match_joue","total_point","journee","points"
"1","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J1",0
"2","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J2",3
"3","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J3",6
"4","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J4",7
"5","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J5",10
"6","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J6",13
"7","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J7",14
"8","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J8",17
"9","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J9",18
"10","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J10",19
"11","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J11",22
"12","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J12",23
"13","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J13",25
"14","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J14",26
"15","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J15",26
"16","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J16",26
"17","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J17",26
"18","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J18",26
"19","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J19",26
"20","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J20",26
"21","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J21",26
"22","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J22",26
"23","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J23",26
"24","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J24",26
"25","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J25",26
"26","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J26",26
"27","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J27",26
"28","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J28",26
"29","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J29",26
"30","BOURG DE PEAGE DROME HANDBALL","D1","2021","F",13,26,"J30",26
"31","BREST BRETAGNE HANDBALL","D1","2021","F",13,37,"J1",0
"32","BREST BRETAGNE HANDBALL","D1","2021","F",13,37,"J2",3
"33","BREST BRETAGNE HANDBALL","D1","2021","F",13,37,"J3",6
"34","BREST BRETAGNE HANDBALL","D1","2021","F",13,37,"J4",9
"35","BREST BRETAGNE HANDBALL","D1","2021","F",13,37,"J5",12
"36","BREST BRETAGNE HANDBALL","D1","2021","F",13,37,"J6",15
"37","BREST BRETAGNE HANDBALL","D1","2021","F",13,37,"J7",18
