code_rencontre,club_recevant,coach_recevant,club_visiteur,coach_visiteur,temps_mort_min,temps_mort_score,temps_mort_equipe,but_apres_temps_mort,score_final
UAFJKIW,aix provence universite club handball,forets eric,creteil us handball,esparre christophe,59:56:00,26-25,r,non,26-25
UAFJKJI,limoges hand 87,entrerrios rodriguez alberto,paris saint-germain handball,gonzalez gutierrez raul,59:13:00,28-29,r,oui,29-30
UAFJKJI,limoges hand 87,entrerrios rodriguez alberto,paris saint-germain handball,gonzalez gutierrez raul,59:45:00,29-29,v,oui,29-30
UAFJKJZ,limoges hand 87,entrerrios rodriguez alberto,toulouse fenix handball,andelkovic danijel,59:07:00,27-29,r,oui,28-29
UAFJKJZ,limoges hand 87,entrerrios rodriguez alberto,toulouse fenix handball,andelkovic danijel,59:48:00,28-29,v,non,28-29
UAFNJYX,cesson rennes metropole ,leriche sebastien,toulouse fenix handball,andelkovic danijel,59:33:00,28-27,v,non,28-27
UAFOLYV,cesson rennes metropole ,leriche sebastien,tremblay-en-france handball,hamani cherif,59:08:00,26-25,v,oui,26-25
UAFOLYV,cesson rennes metropole ,leriche sebastien,tremblay-en-france handball,hamani cherif,59:42:00,26-25,r,non,26-26
UAFJKLC,chambery savoie hb ,antonio marcos asier ,dunkerque handball grand littoral ,maurice franck,59:54:00,28-27,v,non ,28-27
UAFQEUD,limoges hand 87,entrerrios rodriguez alberto ,ivry us handball ,dinart didier ,59:48:00,32-33,v,non,33-33
UAFJKMF,tremblay-en-france handball,hamani cherif,c chartres metropole,stojinovic nebojsa,59:36:00,30-29,r,oui,31-30
UAFOLZN,chambery savoie hb,antonio marcos asier,tremblay-en-france handball,hamani cherif,59:06:00,25-26,v,oui,27-28
UAFOLZN,chambery savoie hb,antonio marcos asier,tremblay-en-france handball,hamani cherif,59:15:00,25-27,r,oui,27-28
UAFJKLT,istres provence handball,derot gilles,toulouse fenix handball,andelkovic danijel,59:12:00,29-30,v,non,29-30
UAFJKLT,istres provence handball,derot gilles,toulouse fenix handball,andelkovic danijel,59:36:00,29-30,r,non,29-30
