"Pos.","Club","Points","Joués","Gagnés","Nuls","Perdus","Buts +","Buts -","Diff."
1,"METZ HANDBALL",78,26,26,0,0,845,582,263
2,"BREST BRETAGNE HANDBALL",68,26,21,0,5,805,659,146
3,"PARIS 92",63,26,18,1,7,653,590,63
4,"ES BESANCON FEMININ",61,26,17,1,8,739,684,55
5,"LES NEPTUNES DE NANTES",58,26,16,0,10,744,716,28
6,"CHAMBRAY TOURAINE HANDBALL",53,26,12,3,11,704,688,16
7,"OGC NICE COTE D'AZUR HANDBALL",51,26,11,3,12,642,675,-33
8,"JDA DIJON HANDBALL",47,26,10,1,15,646,666,-20
9,"BOURG DE PEAGE DROME HANDBALL",43,26,17,1,8,731,713,18
10,"MERIGNAC HANDBALL",42,26,6,4,16,668,725,-57
11,"TOULON METROPOLE VAR HB",42,26,8,0,18,608,709,-101
12,"HANDBALL PLAN DE CUQUES",38,26,5,2,19,612,740,-128
13,"CELLES SUR BELLE MELLOIS EN POITOU",34,26,3,2,21,637,769,-132
14,"FLEURY LOIRET HANDBALL",32,26,3,0,23,620,738,-118
