"code_rencontre","club_recevant","coach_recevant","club_visiteur","coach_visiteur","score_final_r","score_final_v","fichier","score_recevant_59_min","score_visiteur_59_min","equipe","statut_59_min","statut_final","effet_positif","TM_derniere_min","TM_derniere_min_adverse","HF","DM","DM_adverse","division","saison","club_ref","club_opp","points_classement","points_opp","diff_classement"
"SAECUYY","BREST BRETAGNE HANDBALL","MOREL pablo","JDA DIJON HANDBALL","MAZEL christophe",32,30,"rencontre_D1F_2223_2969.pdf",32,29,"R",1,1,1,1,0,"F",0,0,"D1","2223","brest bretagne handball","jda dijon handball",62,52,-10
"SAECUZP","MERIGNAC HANDBALL","CHAGNARD christophe","CELLES SUR BELLE MELLOIS EN POITOU","VINCENT thierry",26,28,"rencontre_D1F_2223_2986.pdf",26,27,"R",-1,-1,0,0,0,"F",0,0,"D1","2223","handball clermont auvergne metropole 63","provence aix universite club handball",NA,NA,NA
"SAECUZQ","TOULON METROPOLE VAR HANDBALL","PLANTIN stephane","LES NEPTUNES DE NANTES","THOMSEN helle",24,26,"rencontre_D1F_2223_2987.pdf",23,25,"R",-1,-1,0,0,0,"F",1,0,"D1","2223","le pouzin hb 07","les neptunes de nantes",NA,56,NA
"SAECUZR","HANDBALL PLAN DE CUQUES","SPINCER angelique","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement",34,32,"rencontre_D1F_2223_2988.pdf",34,32,"R",1,1,1,0,0,"F",1,0,"D1","2223","provence aix universite club handball","bouillargues handball nimes metropole",NA,NA,NA
"SAECVAF","MERIGNAC HANDBALL","CHAGNARD christophe","LES NEPTUNES DE NANTES","THOMSEN helle",27,30,"rencontre_D1F_2223_3002.pdf",27,30,"R",-1,-1,0,0,1,"F",0,0,"D1","2223","handball clermont auvergne metropole 63","les neptunes de nantes",NA,56,NA
"SAECVAJ","LES NEPTUNES DE NANTES","THOMSEN helle","CELLES SUR BELLE MELLOIS EN POITOU","VINCENT thierry",28,26,"rencontre_D1F_2223_3006.pdf",27,26,"R",1,1,1,1,0,"F",0,0,"D1","2223","les neptunes de nantes","provence aix universite club handball",56,NA,NA
"SAECVAL","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement","MERIGNAC HANDBALL","CHAGNARD christophe",26,24,"rencontre_D1F_2223_3008.pdf",25,23,"R",1,1,1,1,0,"F",0,0,"D1","2223","bouillargues handball nimes metropole","handball clermont auvergne metropole 63",NA,NA,NA
"SAECVAQ","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement","CHAMBRAY TOURAINE HANDBALL","LANFRANCHI mathieu",33,36,"rencontre_D1F_2223_3013.pdf",33,36,"R",-1,-1,0,0,0,"F",0,1,"D1","2223","bouillargues handball nimes metropole","st amand handball -  porte du hainaut",NA,34,NA
"SAECVAU","CELLES SUR BELLE MELLOIS EN POITOU","VINCENT thierry","PARIS","MESSAOUDI yacine",23,24,"rencontre_D1F_2223_3017.pdf",22,24,"R",-1,-1,0,0,0,"F",0,0,"D1","2223","provence aix universite club handball","paris 92",NA,51,NA
"SAECVAV","ES BESANCON FEMININ","MIZOULE sebastien","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement",27,28,"rencontre_D1F_2223_3018.pdf",26,27,"R",-1,-1,0,0,0,"F",0,0,"D1","2223","handball clermont auvergne metropole 63","bouillargues handball nimes metropole",NA,NA,NA
"SAECVBB","ST AMAND HANDBALL - PORTE DU HAINAUT","GARCIA CARRACEDO felix","BREST BRETAGNE HANDBALL","MOREL pablo",24,23,"rencontre_D1F_2223_3024.pdf",23,22,"R",1,1,1,1,0,"F",0,0,"D1","2223","st amand handball -  porte du hainaut","brest bretagne handball",34,62,28
"SAECVBF","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement","JDA DIJON HANDBALL","MAZEL christophe",29,30,"rencontre_D1F_2223_3028.pdf",29,29,"R",0,-1,0,1,0,"F",0,0,"D1","2223","bouillargues handball nimes metropole","jda dijon handball",NA,52,NA
"SAECVBH","MERIGNAC HANDBALL","CHAGNARD christophe","ST AMAND HANDBALL - PORTE DU HAINAUT","GARCIA CARRACEDO felix",27,26,"rencontre_D1F_2223_3030.pdf",27,26,"R",1,1,1,0,1,"F",0,0,"D1","2223","handball clermont auvergne metropole 63","st amand handball -  porte du hainaut",NA,34,NA
"SAECVBJ","METZ HANDBALL","MAYONNADE emmanuel","PARIS","MESSAOUDI yacine",30,29,"rencontre_D1F_2223_3032.pdf",30,29,"R",1,1,1,0,0,"F",0,0,"D1","2223","limoges hand 87","paris 92",NA,51,NA
"SAECVBL","ES BESANCON FEMININ","MIZOULE sebastien","CELLES SUR BELLE MELLOIS EN POITOU","VINCENT thierry",29,26,"rencontre_D1F_2223_3034.pdf",29,26,"R",1,1,1,0,0,"F",0,0,"D1","2223","handball clermont auvergne metropole 63","provence aix universite club handball",NA,NA,NA
"SAECVBM","CHAMBRAY TOURAINE HANDBALL","LANFRANCHI mathieu","MERIGNAC HANDBALL","CHAGNARD christophe",21,22,"rencontre_D1F_2223_3035.pdf",21,22,"R",-1,-1,0,0,1,"F",0,0,"D1","2223","st amand handball -  porte du hainaut","handball clermont auvergne metropole 63",34,NA,NA
"SAECVBO","HANDBALL PLAN DE CUQUES","SPINCER angelique","TOULON METROPOLE VAR HANDBALL","PLANTIN stephane",29,25,"rencontre_D1F_2223_3037.pdf",28,25,"R",1,1,1,0,0,"F",0,0,"D1","2223","provence aix universite club handball","le pouzin hb 07",NA,NA,NA
"SAECVBP","ST AMAND HANDBALL - PORTE DU HAINAUT","GARCIA CARRACEDO felix","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement",31,32,"rencontre_D1F_2223_3038.pdf",31,32,"R",-1,-1,0,0,1,"F",0,0,"D1","2223","st amand handball -  porte du hainaut","bouillargues handball nimes metropole",34,NA,NA
