"code_rencontre","club_recevant","coach_recevant","club_visiteur","coach_visiteur","temps","score_recevant","score_visiteur","action","Temps_Sec","score_final","temps_mort_equipe","but_1min_apres_temps_mort","action_equipe","statut_recevant","ecart_recevant","fichier"
"UAFJKIW","AIX PROVENCE UNIVERSITE CLUB HANDBALL","FORETS eric","CRETEIL US HANDBALL","ESPARRE christophe","00:58",0,0,"Tir JR N°33 TRITTA alexandre",58,"26 - 25","","","r",0,0,"rencontre_D1H_2425_139.pdf"
"UAFJKIW","AIX PROVENCE UNIVERSITE CLUB HANDBALL","FORETS eric","CRETEIL US HANDBALL","ESPARRE christophe","01:31",0,0,"Tir JV N°11 AYEVA belco ",91,"26 - 25","","","v",0,0,"rencontre_D1H_2425_139.pdf"
"UAFJKIW","AIX PROVENCE UNIVERSITE CLUB HANDBALL","FORETS eric","CRETEIL US HANDBALL","ESPARRE christophe","01:43",0,1,"But JV N°8 DEKIC dorde ",103,"26 - 25","","","v",-1,-1,"rencontre_D1H_2425_139.pdf"
"UAFJKIW","AIX PROVENCE UNIVERSITE CLUB HANDBALL","FORETS eric","CRETEIL US HANDBALL","ESPARRE christophe","02:54",1,1,"But 7m JR N°8 LOESCH gabriel ",174,"26 - 25","","","r",0,0,"rencontre_D1H_2425_139.pdf"
"UAFJKIW","AIX PROVENCE UNIVERSITE CLUB HANDBALL","FORETS eric","CRETEIL US HANDBALL","ESPARRE christophe","03:25",1,1,"Tir JV N°19 KURZEMNIEKS emils ",205,"26 - 25","","","v",0,0,"rencontre_D1H_2425_139.pdf"
"UAFJKIW","AIX PROVENCE UNIVERSITE CLUB HANDBALL","FORETS eric","CRETEIL US HANDBALL","ESPARRE christophe","03:42",2,1,"But JR N°3 CASQUEIRO LOPEZ adrian ",222,"26 - 25","","","r",1,1,"rencontre_D1H_2425_139.pdf"
"UAFJKIW","AIX PROVENCE UNIVERSITE CLUB HANDBALL","FORETS eric","CRETEIL US HANDBALL","ESPARRE christophe","04:06",2,1,"Tir JV N°11 AYEVA belco ",246,"26 - 25","","","v",1,1,"rencontre_D1H_2425_139.pdf"
"UAFJKIW","AIX PROVENCE UNIVERSITE CLUB HANDBALL","FORETS eric","CRETEIL US HANDBALL","ESPARRE christophe","04:35",3,1,"But 7m JR N°8 LOESCH gabriel ",275,"26 - 25","","","r",1,2,"rencontre_D1H_2425_139.pdf"
"UAFJKIW","AIX PROVENCE UNIVERSITE CLUB HANDBALL","FORETS eric","CRETEIL US HANDBALL","ESPARRE christophe","05:23",3,1,"Tir JV N°8 DEKIC dorde ",323,"26 - 25","","","v",1,2,"rencontre_D1H_2425_139.pdf"
"UAFJKIW","AIX PROVENCE UNIVERSITE CLUB HANDBALL","FORETS eric","CRETEIL US HANDBALL","ESPARRE christophe","06:05",4,1,"But JR N°15 BROUZET hugo ",365,"26 - 25","","","r",1,3,"rencontre_D1H_2425_139.pdf"
