"","club","division","saison","HF","J1","J2","J3","J4","J5","J6","J7","J8","J9","J10","J11","J12","J13","J14","J15","J16","J17","J18","J19","J20","J21","J22","J23","J24","J25","J26","match_joue"
"1","AMIENS PICARDIE HANDBALL","N1","2021","H",3,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3"
"2","ASB REZE HANDBALL","N1","2021","H",1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4"
"3","ASPTT MULHOUSE","N1","2021","H",3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4"
"4","ATHLETIC CLUB BOULOGNE BILLANCOURT","N1","2021","H",1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3"
"5","BILLERE HANDBALL PAU PYRENEES","N1","2021","H",1,NA,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4"
"6","BRUGES","N1","2021","H",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"7","C'CHARTRES METROPOLE HANDBALL","N1","2021","H",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"8","CAEN HANDBALL","N1","2021","H",3,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3"
"9","CERCLE PAUL BERT RENNES HB","N1","2021","H",1,2,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4"
"10","CESSON RENNES METROPOLE HB","N1","2021","H",1,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5"
"11","CLUB OMNISPORTS DE VERNOUILLET","N1","2021","H",NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4"
"12","ELITE VAL D'OISE","N1","2021","H",3,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5"
"13","FENIX TOULOUSE HANDBALL","N1","2021","H",3,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5"
"14","FRONTIGNAN THAU HANDBALL","N1","2021","H",3,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4"
"15","GONFREVILLE HANDBALL","N1","2021","H",1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4"
"16","GRAND POITIERS HANDBALL","N1","2021","H",1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5"
"17","HAND BALL CLUB GIEN LOIRET","N1","2021","H",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"18","HANDBALL CLUB DE LIVRY GARGAN","N1","2021","H",3,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3"
"19","HANDBALL HAZEBROUCK","N1","2021","H",3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3"
"20","HBC NANTES","N1","2021","H",3,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4"
"21","LANESTER HB","N1","2021","H",3,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4"
"22","LILLE METROPOLE - HANDBALL CLUB","N1","2021","H",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"23","PARIS SAINT-GERMAIN HANDBALL","N1","2021","H",3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4"
"24","PATRONAGE LAIQUE GRANVILLE HANDBALL","N1","2021","H",NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"25","PAU NOUSTY SPORTS","N1","2021","H",1,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3"
"26","POUZAUGES VENDEE HANDBALL","N1","2021","H",3,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4"
"27","REVEIL DE NOGENT HANDBALL","N1","2021","H",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"28","RIXHEIM","N1","2021","H",1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3"
"29","SAINT CYR HANDBALL","N1","2021","H",1,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4"
"30","SAVIGNY HB","N1","2021","H",3,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5"
"31","TORCY HANDBALL MARNE LA VALLEE","N1","2021","H",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"32","UNION GIRONDINS DE BORDEAUX BASTIDE","N1","2021","H",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"33","UNION SPORTIVE IVRY HANDBALL","N1","2021","H",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"34","US CRETEIL HANDBALL","N1","2021","H",1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3"
"35","US SAINTES HANDBALL","N1","2021","H",3,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4"
"36","VILLEURBANNE HANDBALL","N1","2021","H",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"37","AMIENS PICARDIE HANDBALL","N1","2122","H",3,1,3,3,3,1,3,3,3,3,3,2,3,3,3,3,3,1,3,3,2,3,NA,NA,NA,NA,"22"
"38","ANNECY CSAV HANDBALL","N1","2122","H",3,3,3,1,3,3,1,1,NA,3,NA,3,3,3,3,1,3,3,1,3,1,3,NA,NA,NA,NA,"20"
"39","ASB REZE HANDBALL","N1","2122","H",1,3,3,3,1,3,3,1,1,1,3,2,1,3,NA,3,1,3,1,3,1,2,NA,NA,NA,NA,"21"
"40","ASPTT MULHOUSE","N1","2122","H",3,2,1,3,3,3,3,1,3,3,2,NA,1,1,3,1,1,1,1,1,NA,2,NA,NA,NA,NA,"20"
"41","ASSOCIATION SPORTIVE ST-OUEN-L'AUMONE","N1","2122","H",1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,3,3,NA,1,NA,NA,NA,NA,"21"
"42","BILLERE HANDBALL PAU PYRENEES","N1","2122","H",1,3,1,3,3,1,3,1,3,NA,3,1,3,3,3,3,1,1,3,1,3,1,NA,NA,NA,NA,"21"
"43","BORDEAUX BRUGES","N1","2122","H",NA,3,3,3,3,3,3,3,1,2,3,3,3,3,3,2,3,2,2,3,3,1,NA,NA,NA,NA,"21"
"44","CERCLE PAUL BERT RENNES HB","N1","2122","H",3,1,3,2,3,2,3,2,3,2,3,3,3,1,3,1,2,1,3,1,3,NA,NA,NA,NA,NA,"21"
"45","CESSON RENNES METROPOLE HB","N1","2122","H",3,3,1,1,NA,2,3,2,1,3,1,2,1,1,3,3,2,3,1,1,3,3,NA,NA,NA,NA,"21"
"46","DUNKERQUE HANDBALL GRAND LITTORAL","N1","2122","H",3,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,NA,NA,NA,NA,"22"
"47","ELITE VAL-D'OISE","N1","2122","H",1,2,2,1,2,3,3,3,2,1,2,1,NA,1,NA,3,1,3,3,1,3,1,NA,NA,NA,NA,"20"
"48","FLOIRAC CENON HB (N","N1","2122","H",3,NA,3,NA,3,NA,1,NA,3,3,NA,NA,3,NA,3,NA,3,NA,3,NA,NA,3,NA,NA,NA,NA,"11"
"49","FRONTIGNAN THAU HANDBALL","N1","2122","H",3,3,2,1,3,3,3,3,3,2,2,1,3,1,3,3,3,1,NA,3,NA,3,NA,NA,NA,NA,"20"
"50","GONFREVILLE HANDBALL","N1","2122","H",3,1,1,3,2,1,1,3,3,NA,3,1,1,NA,3,1,1,3,3,3,NA,3,NA,NA,NA,NA,"19"
"51","GRAND POITIERS HANDBALL","N1","2122","H",3,1,1,1,1,1,NA,1,NA,3,1,3,3,1,1,1,1,3,1,1,1,1,NA,NA,NA,NA,"20"
"52","HAND BALL CLUB GIEN LOIRET","N1","2122","H",3,3,1,3,2,1,1,3,NA,2,3,1,1,1,1,1,1,1,1,3,1,3,NA,NA,NA,NA,"21"
