"","club","division","saison","HF","match_joue","total_point","journee","points"
"1","AMIENS PICARDIE HANDBALL","N1","2021","H",4,9,"J1",0
"2","AMIENS PICARDIE HANDBALL","N1","2021","H",4,9,"J2",3
"3","AMIENS PICARDIE HANDBALL","N1","2021","H",4,9,"J3",6
"4","AMIENS PICARDIE HANDBALL","N1","2021","H",4,9,"J4",8
"5","ASB REZE HANDBALL","N1","2021","H",4,4,"J1",0
"6","ASB REZE HANDBALL","N1","2021","H",4,4,"J2",1
"7","ASB REZE HANDBALL","N1","2021","H",4,4,"J3",2
"8","ASB REZE HANDBALL","N1","2021","H",4,4,"J4",3
"9","ASPTT MULHOUSE/RIXHEIM","N1","2021","H",4,11,"J1",0
"10","ASPTT MULHOUSE/RIXHEIM","N1","2021","H",4,11,"J2",3
"11","ASPTT MULHOUSE/RIXHEIM","N1","2021","H",4,11,"J3",6
"12","ASPTT MULHOUSE/RIXHEIM","N1","2021","H",4,11,"J4",8
"13","ATHLETIC CLUB BOULOGNE BILLANCOURT","N1","2021","H",3,3,"J1",0
"14","ATHLETIC CLUB BOULOGNE BILLANCOURT","N1","2021","H",3,3,"J2",1
"15","ATHLETIC CLUB BOULOGNE BILLANCOURT","N1","2021","H",3,3,"J3",2
"16","BILLERE HANDBALL PAU PYRENEES","N1","2021","H",4,9,"J1",0
"17","BILLERE HANDBALL PAU PYRENEES","N1","2021","H",4,9,"J2",1
"18","BILLERE HANDBALL PAU PYRENEES","N1","2021","H",4,9,"J3",1
"19","BILLERE HANDBALL PAU PYRENEES","N1","2021","H",4,9,"J4",4
"20","BRUGES","N1","2021","H",1,1,"J1",0
"21","C'CHARTRES METROPOLE HANDBALL","N1","2021","H",1,1,"J1",0
"22","CAEN HANDBALL","N1","2021","H",3,9,"J1",0
"23","CAEN HANDBALL","N1","2021","H",3,9,"J2",3
"24","CAEN HANDBALL","N1","2021","H",3,9,"J3",3
"25","CERCLE PAUL BERT RENNES HB","N1","2021","H",5,8,"J1",0
"26","CERCLE PAUL BERT RENNES HB","N1","2021","H",5,8,"J2",1
"27","CERCLE PAUL BERT RENNES HB","N1","2021","H",5,8,"J3",3
"28","CERCLE PAUL BERT RENNES HB","N1","2021","H",5,8,"J4",6
"29","CERCLE PAUL BERT RENNES HB","N1","2021","H",5,8,"J5",7
"30","CESSON RENNES METROPOLE HB","N1","2021","H",5,13,"J1",0
"31","CESSON RENNES METROPOLE HB","N1","2021","H",5,13,"J2",1
"32","CESSON RENNES METROPOLE HB","N1","2021","H",5,13,"J3",4
"33","CESSON RENNES METROPOLE HB","N1","2021","H",5,13,"J4",7
"34","CESSON RENNES METROPOLE HB","N1","2021","H",5,13,"J5",10
"35","CLUB OMNISPORTS DE VERNOUILLET","N1","2021","H",5,7,"J1",0
"36","CLUB OMNISPORTS DE VERNOUILLET","N1","2021","H",5,7,"J2",1
"37","CLUB OMNISPORTS DE VERNOUILLET","N1","2021","H",5,7,"J3",2
"38","CLUB OMNISPORTS DE VERNOUILLET","N1","2021","H",5,7,"J4",3
"39","CLUB OMNISPORTS DE VERNOUILLET","N1","2021","H",5,7,"J5",4
"40","ELITE VAL-D’OISE","N1","2021","H",5,10,"J1",0
"41","ELITE VAL-D’OISE","N1","2021","H",5,10,"J2",3
"42","ELITE VAL-D’OISE","N1","2021","H",5,10,"J3",6
"43","ELITE VAL-D’OISE","N1","2021","H",5,10,"J4",7
"44","ELITE VAL-D’OISE","N1","2021","H",5,10,"J5",8
"45","FENIX TOULOUSE HANDBALL","N1","2021","H",5,14,"J1",0
"46","FENIX TOULOUSE HANDBALL","N1","2021","H",5,14,"J2",3
"47","FENIX TOULOUSE HANDBALL","N1","2021","H",5,14,"J3",6
"48","FENIX TOULOUSE HANDBALL","N1","2021","H",5,14,"J4",9
"49","FENIX TOULOUSE HANDBALL","N1","2021","H",5,14,"J5",11
"50","FRONTIGNAN THAU HANDBALL","N1","2021","H",4,8,"J1",0
"51","FRONTIGNAN THAU HANDBALL","N1","2021","H",4,8,"J2",3
"52","FRONTIGNAN THAU HANDBALL","N1","2021","H",4,8,"J3",4
"53","FRONTIGNAN THAU HANDBALL","N1","2021","H",4,8,"J4",7
"54","GONFREVILLE HANDBALL","N1","2021","H",4,6,"J1",0
"55","GONFREVILLE HANDBALL","N1","2021","H",4,6,"J2",1
"56","GONFREVILLE HANDBALL","N1","2021","H",4,6,"J3",2
"57","GONFREVILLE HANDBALL","N1","2021","H",4,6,"J4",3
"58","GRAND POITIERS HANDBALL","N1","2021","H",5,7,"J1",0
"59","GRAND POITIERS HANDBALL","N1","2021","H",5,7,"J2",1
"60","GRAND POITIERS HANDBALL","N1","2021","H",5,7,"J3",2
"61","GRAND POITIERS HANDBALL","N1","2021","H",5,7,"J4",3
"62","GRAND POITIERS HANDBALL","N1","2021","H",5,7,"J5",4
"63","HAND BALL CLUB GIEN LOIRET","N1","2021","H",1,1,"J1",0
"64","HANDBALL CLUB DE LIVRY GARGAN","N1","2021","H",3,6,"J1",0
"65","HANDBALL CLUB DE LIVRY GARGAN","N1","2021","H",3,6,"J2",3
"66","HANDBALL CLUB DE LIVRY GARGAN","N1","2021","H",3,6,"J3",4
